Company Name,Company Website,Description,Industry,Revenue,Data Volume,Data Type,Original Content,Country
Center for Digestive Health,https://www.cdhorlando.com,"The Center for Digestive Health focuses on disorders related to the digestive system including both short-term conditions and chronic, lifelong diseases. These conditions may involve the liver, stomach, colon, small intestine, gallbladder or pancreas.",Healthcare,$6 Millions,2.2 TB,"A physical and medical history examination.
Accounting, budget, financial data.
Contract data and NDAs.
Accidents.
Files from CFO PC.
Operational and business files.
Email and msg archives.","Center for Digestive Health
https://www.cdhorlando.com
The Center for Digestive Health focuses on disorders related to the digestive system including both short-term conditions and chronic, lifelong diseases. These conditions may involve the liver, stomach, colon, small intestine, gallbladder or pancreas.
Founder: Henry Levine
Business email: hlevineMD@cdhfl.com
Personal email: hlevinecdh@yahoo.com
Personal email: hlevine3@cfl.rr.com
Mobile Phone: +1 (407) 617-9210
Revenue: $6 Millions
Data volume: 2.2 TB
Data description:
A physical and medical history examination.
Accounting, budget, financial data.
Contract data and NDAs.
Accidents.
Files from CFO PC.
Operational and business files.
Email and msg archives.
Center for Digestive Health business contents.txt
cdhorlando.com_business_1.7z cdhorlando.com_business_2.7z cdhorlando.com_business_3.7z cdhorlando.com_business_4.7z cdhorlando.com_business_5.7z cdhorlando.com_business_6.7z cdhorlando.com_business_7.7z cdhorlando.com_business_8.7z cdhorlando.com_business_9.7z
Center for Digestive Health finance contents.txt
cdhorlando.com_finance_1.7z cdhorlando.com_finance_2.7z cdhorlando.com_finance_3.7z
Center for Digestive Health personal contents.txt
cdhorlando.com_personal_1.7z
usa
medical
",USA
Len Dubois Trucking,https://www.lenduboistrucking.com,"Len Dubois Trucking - Transport Service Provider. Today, Len Dubois Trucking Inc. operates 50+ company trucks and owner/operators in Manitoba. Travels are approximately 75% in the U.S., with hauling capabilities that include Full Truck Loads, Less than Truck Loads, Hazardous Materials, Special Commodities, Antiques, and pretty much whatever will fit in the trailer.",Logistics,$26 Million,300 GB,"Personal data of employees.
Personal data of customers.
Contract data and NDAs.
Accounting, budget, financial data.
Accidents.
Files from CFO PC.
Operational and business files.
Email and msg archives.","Len Dubois Trucking
https://www.lenduboistrucking.com
Len Dubois Trucking - Transport Service Provider. Today, Len Dubois Trucking Inc. operates 50+ company trucks and owner/operators in Manitoba. Travels are approximately 75% in the U.S., with hauling capabilities that include Full Truck Loads, Less than Truck Loads, Hazardous Materials, Special Commodities, Antiques, and pretty much whatever will fit in the trailer.
President & CEO: Jason Dubois
Business email: jasond@lenduboistrucking.com
Mobile Phone: +1(204)-782-6446
VP of Finance: Wayne Sawatzky
Business email: wsawatzky@lenduboistrucking.com
Mobile Phone: +1(204)-803-8764
VP of Safety, Compliance and Driver Services: John Cole
Business email: jcole@lenduboistrucking.com
Mobile Phone: +1(204) 803-0849
Revenue: $26 Million
Data volume: 300 GB
Data description:
Personal data of employees.
Personal data of customers.
Contract data and NDAs.
Accounting, budget, financial data.
Accidents.
Files from CFO PC.
Operational and business files.
Email and msg archives.
Len Dubois Trucking business contents.txt
lenduboistrucking.com_business_1.7z lenduboistrucking.com_business_2.7z lenduboistrucking.com_business_3.7z lenduboistrucking.com_business_4.7z
Len Dubois Trucking finance contents.txt
lenduboistrucking.com_finance_1.7z lenduboistrucking.com_finance_2.7z lenduboistrucking.com_finance_3.7z lenduboistrucking.com_finance_4.7z lenduboistrucking.com_finance_5.7z lenduboistrucking.com_finance_6.7z lenduboistrucking.com_finance_7.7z lenduboistrucking.com_finance_8.7z
Len Dubois Trucking mail contents.txt
lenduboistrucking.com_mail_1.7z lenduboistrucking.com_mail_2.7z lenduboistrucking.com_mail_3.7z
Len Dubois Trucking personal contents.txt
lenduboistrucking.com_personal_1.7z
canada
logistics
",Canada
"GMJ & Co, Chartered Accountants",https://gmjca.com,"GMJ & Co, Chartered Accountants, was established in 1986. Over the years, the Firm has grown to a mid-sized single-window setup having 14 Partners and a team of about 250 persons. The Firms different verticals are headed by Senior Partners. Team GMJ consists of qualified, semi-qualified and others, who are technically competent, well trained, strongly motivated and have in-depth knowledge and rich experience.",Accounting,<$5M Millions,110 GB,"Contracts and agreements
PII data
Finance data
Internal and external email correspondence
Business data
Finance data
Graphic data
Technical data","GMJ & Co, Chartered Accountants
https://gmjca.com
GMJ & Co, Chartered Accountants, was established in 1986. Over the years, the Firm has grown to a mid-sized single-window setup having 14 Partners and a team of about 250 persons. The Firms different verticals are headed by Senior Partners. Team GMJ consists of qualified, semi-qualified and others, who are technically competent, well trained, strongly motivated and have in-depth knowledge and rich experience.
Owner: Atul Jain
Personal Phone: +91-98-2111-9041
Revenue: <$5M Millions
Data Volume: 110 GB
Data description:
Contracts and agreements
PII data
Finance data
Internal and external email correspondence
Business data
Finance data
Graphic data
Technical data
The rest data coming soon.
india
accounting


--- ZIP File Summary ---
gmjca.com_business_1.zip: 7 zip files
gmjca.com_finance_1.zip: 11 zip files
gmjca.com_graphics_1.zip: 7 zip files
gmjca.com_technical_1.zip: 4 zip files",India
Delta Pipeline,https://www.deltapipeline.com,"Delta Pipeline is an industry leader in underground pipeline construction. Established in 1991, Delta Pipeline is a 100% employee owned company (ESOP) with a huge emphasis on employee growth.",Construction,> $15 Million,,,"Delta Pipeline
https://www.deltapipeline.com
Delta Pipeline is an industry leader in underground pipeline construction. Established in 1991, Delta Pipeline is a 100% employee owned company (ESOP) with a huge emphasis on employee growth.
CEO: Craig Danley
Business email: craig@deltapipeline.com
Mobile Phone: +1 (562) 239-55-63
Vice President | CFO: Tom Case
Business email: tom@deltapipeline.com
Mobile Phone: +1 (949) 702-73-26
Vice President | CFO*: Richard Vance
Business email: richard@deltapipeline.net
Mobile Phone: +1 (909) 630-6863
Office Manager and Special Projects Coordinator: Julie Danley
Business email: julie@deltapipeline.com
Mobile Phone: +1 (562) 712-20-98
Assistant Controller: Steven Danley
Business email: steven@deltapipeline.com
Mobile Phone: +1 (909) 618-39-55
General Superintendent: Damon Danley
Business email: damon@deltapipeline.com
Mobile Phone: +1 (562) 239-53-95
Revenue: > $15 Million
This is the examples of data taken from Delta Pipelineù network.",
defi SOLUTIONS.,https://defisolutions.com,"defi SOLUTIONS is a company that develops SaaS based loan origination software solutions. It also provides a platform that enables transferring and receiving loan documents and a web-based auto loan portfolio marketplace. The company serves consumer finance companies, banks, credit unions, etc.",IT,$126 Million,180 GB,,"defi SOLUTIONS.
https://defisolutions.com
defi SOLUTIONS is a company that develops SaaS based loan origination software solutions. It also provides a platform that enables transferring and receiving loan documents and a web-based auto loan portfolio marketplace. The company serves consumer finance companies, banks, credit unions, etc.
Revenue: $126 Million
Data volume: 180 GB
defi SOLUTIONS data contents.txt
defisolutions.com_data_1.7z defisolutions.com_data_2.7z defisolutions.com_data_3.7z defisolutions.com_data_4.7z defisolutions.com_data_5.7z defisolutions.com_data_6.7z defisolutions.com_data_7.7z defisolutions.com_data_8.7z defisolutions.com_data_9.7z defisolutions.com_data_10.7z defisolutions.com_data_11.7z defisolutions.com_data_12.7z defisolutions.com_data_13.7z defisolutions.com_data_14.7z defisolutions.com_data_15.7z defisolutions.com_data_16.7z defisolutions.com_data_17.7z defisolutions.com_data_18.7z defisolutions.com_data_19.7z defisolutions.com_data_20.7z defisolutions.com_data_21.7z defisolutions.com_data_22.7z defisolutions.com_data_23.7z defisolutions.com_data_24.7z defisolutions.com_data_25.7z defisolutions.com_data_26.7z defisolutions.com_data_27.7z defisolutions.com_data_28.7z defisolutions.com_data_29.7z defisolutions.com_data_30.7z defisolutions.com_data_31.7z defisolutions.com_data_32.7z defisolutions.com_data_33.7z defisolutions.com_data_34.7z defisolutions.com_data_35.7z defisolutions.com_data_36.7z defisolutions.com_data_37.7z defisolutions.com_data_38.7z defisolutions.com_data_39.7z defisolutions.com_data_40.7z defisolutions.com_data_41.7z defisolutions.com_data_42.7z defisolutions.com_data_43.7z defisolutions.com_data_44.7z defisolutions.com_data_45.7z defisolutions.com_data_46.7z defisolutions.com_data_47.7z defisolutions.com_data_48.7z defisolutions.com_data_49.7z defisolutions.com_data_50.7z defisolutions.com_data_51.7z defisolutions.com_data_52.7z defisolutions.com_data_53.7z defisolutions.com_data_54.7z defisolutions.com_data_55.7z defisolutions.com_data_56.7z defisolutions.com_data_57.7z defisolutions.com_data_58.7z defisolutions.com_data_59.7z defisolutions.com_data_60.7z defisolutions.com_data_61.7z defisolutions.com_data_62.7z defisolutions.com_data_63.7z defisolutions.com_data_64.7z defisolutions.com_data_65.7z defisolutions.com_data_66.7z defisolutions.com_data_67.7z defisolutions.com_data_68.7z defisolutions.com_data_69.7z defisolutions.com_data_70.7z defisolutions.com_data_71.7z defisolutions.com_data_72.7z defisolutions.com_data_73.7z defisolutions.com_data_74.7z defisolutions.com_data_75.7z defisolutions.com_data_76.7z defisolutions.com_data_77.7z defisolutions.com_data_78.7z defisolutions.com_data_79.7z defisolutions.com_data_80.7z defisolutions.com_data_81.7z defisolutions.com_data_82.7z defisolutions.com_data_83.7z defisolutions.com_data_84.7z defisolutions.com_data_85.7z defisolutions.com_data_86.7z defisolutions.com_data_87.7z defisolutions.com_data_88.7z defisolutions.com_data_89.7z defisolutions.com_data_90.7z defisolutions.com_data_91.7z defisolutions.com_data_92.7z defisolutions.com_data_93.7z defisolutions.com_data_94.7z defisolutions.com_data_95.7z defisolutions.com_data_96.7z defisolutions.com_data_97.7z defisolutions.com_data_98.7z defisolutions.com_data_99.7z defisolutions.com_data_100.7z defisolutions.com_data_101.7z defisolutions.com_data_102.7z defisolutions.com_data_103.7z defisolutions.com_data_104.7z defisolutions.com_data_105.7z defisolutions.com_data_106.7z defisolutions.com_data_107.7z defisolutions.com_data_108.7z defisolutions.com_data_109.7z defisolutions.com_data_110.7z defisolutions.com_data_111.7z defisolutions.com_data_112.7z defisolutions.com_data_113.7z defisolutions.com_data_114.7z defisolutions.com_data_115.7z defisolutions.com_data_116.7z defisolutions.com_data_117.7z defisolutions.com_data_118.7z defisolutions.com_data_119.7z defisolutions.com_data_120.7z defisolutions.com_data_121.7z defisolutions.com_data_122.7z defisolutions.com_data_123.7z defisolutions.com_data_124.7z defisolutions.com_data_125.7z defisolutions.com_data_126.7z defisolutions.com_data_127.7z defisolutions.com_data_128.7z defisolutions.com_data_129.7z defisolutions.com_data_130.7z defisolutions.com_data_131.7z defisolutions.com_data_132.7z defisolutions.com_data_133.7z defisolutions.com_data_134.7z defisolutions.com_data_135.7z defisolutions.com_data_136.7z defisolutions.com_data_137.7z defisolutions.com_data_138.7z defisolutions.com_data_139.7z defisolutions.com_data_140.7z defisolutions.com_data_141.7z defisolutions.com_data_142.7z defisolutions.com_data_143.7z defisolutions.com_data_144.7z defisolutions.com_data_145.7z defisolutions.com_data_146.7z defisolutions.com_data_147.7z defisolutions.com_data_148.7z defisolutions.com_data_149.7z defisolutions.com_data_150.7z defisolutions.com_data_151.7z defisolutions.com_data_152.7z defisolutions.com_data_153.7z defisolutions.com_data_154.7z defisolutions.com_data_155.7z defisolutions.com_data_156.7z defisolutions.com_data_157.7z defisolutions.com_data_158.7z defisolutions.com_data_159.7z defisolutions.com_data_160.7z defisolutions.com_data_161.7z defisolutions.com_data_162.7z defisolutions.com_data_163.7z defisolutions.com_data_164.7z defisolutions.com_data_165.7z defisolutions.com_data_166.7z defisolutions.com_data_167.7z defisolutions.com_data_168.7z defisolutions.com_data_169.7z
usa
software
",USA
Western Saw Inc.,https://www.westernsaw.com,"Western Saw Inc. proudly designing and manufacturing Diamond Cores, Carbide Plate, Diamond Core Bit Tubes, and Custom Laser Cutting Services for over 80 years in the USA. We are a Diamond Core leader in quality and customer service.",Construction,$19 Million,990 GB,"Confidential Personal Data.
Accounting, budget, financial data.
Contract data and NDAs.
Files from CEO PC.
Engineering files.
Email and msg archives.
SQL bases.","Western Saw Inc.
https://www.westernsaw.com
Western Saw Inc. proudly designing and manufacturing Diamond Cores, Carbide Plate, Diamond Core Bit Tubes, and Custom Laser Cutting Services for over 80 years in the USA. We are a Diamond Core leader in quality and customer service.
CEO: Kevin Baron
Business email: kevinb@westernsaw.com
Mobile Phone: +1 (805) 383-4141
President: Kraig Baron
Business email: kraigb@westernsaw.com
Mobile Phone: +1 (805) 375-0717
Revenue: $19 Million
Data volume: 990 GB
Data description:
Confidential Personal Data.
Accounting, budget, financial data.
Contract data and NDAs.
Files from CEO PC.
Engineering files.
Email and msg archives.
SQL bases.
Western Saw Inc business contents.txt
westernsaw.com_business_1.7z
Western Saw Inc CAD contents.txt
westernsaw.com_CAD_1.7z westernsaw.com_CAD_2.7z westernsaw.com_CAD_3.7z westernsaw.com_CAD_4.7z westernsaw.com_CAD_5.7z westernsaw.com_CAD_6.7z westernsaw.com_CAD_7.7z westernsaw.com_CAD_8.7z westernsaw.com_CAD_9.7z westernsaw.com_CAD_10.7z westernsaw.com_CAD_11.7z westernsaw.com_CAD_12.7z westernsaw.com_CAD_13.7z westernsaw.com_CAD_14.7z westernsaw.com_CAD_15.7z westernsaw.com_CAD_16.7z westernsaw.com_CAD_17.7z westernsaw.com_CAD_18.7z westernsaw.com_CAD_19.7z westernsaw.com_CAD_20.7z westernsaw.com_CAD_21.7z westernsaw.com_CAD_22.7z westernsaw.com_CAD_23.7z westernsaw.com_CAD_24.7z westernsaw.com_CAD_25.7z westernsaw.com_CAD_26.7z westernsaw.com_CAD_27.7z westernsaw.com_CAD_28.7z westernsaw.com_CAD_29.7z westernsaw.com_CAD_30.7z westernsaw.com_CAD_31.7z westernsaw.com_CAD_32.7z westernsaw.com_CAD_33.7z westernsaw.com_CAD_34.7z westernsaw.com_CAD_35.7z westernsaw.com_CAD_36.7z westernsaw.com_CAD_37.7z westernsaw.com_CAD_38.7z westernsaw.com_CAD_39.7z westernsaw.com_CAD_40.7z westernsaw.com_CAD_41.7z
Western Saw Inc video contents.txt
westernsaw.com_video_1.7z westernsaw.com_video_2.7z westernsaw.com_video_3.7z westernsaw.com_video_4.7z westernsaw.com_video_5.7z westernsaw.com_video_6.7z westernsaw.com_video_7.7z westernsaw.com_video_8.7z westernsaw.com_video_9.7z westernsaw.com_video_10.7z westernsaw.com_video_11.7z westernsaw.com_video_12.7z westernsaw.com_video_13.7z westernsaw.com_video_14.7z westernsaw.com_video_15.7z westernsaw.com_video_16.7z westernsaw.com_video_17.7z westernsaw.com_video_18.7z westernsaw.com_video_19.7z westernsaw.com_video_20.7z westernsaw.com_video_21.7z westernsaw.com_video_22.7z westernsaw.com_video_23.7z westernsaw.com_video_24.7z westernsaw.com_video_25.7z westernsaw.com_video_26.7z westernsaw.com_video_27.7z westernsaw.com_video_28.7z westernsaw.com_video_29.7z westernsaw.com_video_30.7z westernsaw.com_video_31.7z westernsaw.com_video_32.7z westernsaw.com_video_33.7z
Western Saw Inc mail contents.txt
westernsaw.com_mail_1.7z
aidar_mail_001.7z aidar_mail_002.7z aidar_mail_003.7z bryanl_mail_001.7z bryanl_mail_002.7z bryanl_mail_003.7z cole_mail_001.7z cole_mail_002.7z cole_mail_003.7z cole_mail_004.7z cole_mail_005.7z cole_mail_006.7z cole_mail_007.7z kevinb2_mail_001.7z kevinb2_mail_002.7z kevinb2_mail_003.7z kevinb2_mail_004.7z kevinb2_mail_005.7z kevinb2_mail_006.7z kevinb2_mail_007.7z kevinb2_mail_008.7z kevinb2_mail_009.7z kevinb2_mail_010.7z kevinb_mail_001.7z kevinb_mail_002.7z kevinb_mail_003.7z kevinb_mail_004.7z kraigb_mail_001.7z kraigb_mail_002.7z kraigb_mail_003.7z miguelg_mail_001.7z miguelg_mail_002.7z sales_mail_001.7z sales_mail_002.7z stevew_mail_001.7z stevew_mail_002.7z stevew_mail_003.7z veronicam_mail_001.7z veronicam_mail_002.7z veronicam_mail_003.7z
usa
construction
",USA
Northern Minerals Limited,https://northernminerals.com.au/,Northern Minerals Limited (ASX: NTU) is focused on development of rare earth elements. It is a publicly traded company that operates in critical mineral supply chains.,,,,"Operational Data
Strategical data: potential projects, geological and mining researches in various countries, data on research of competitors
R&D data
Financial data
Employees personal data
Corporate email archives including Nick Curtis and Shane Hartwing
Data on shareholders and potential investors","Northern Minerals Limited
https://northernminerals.com.au/
Northern Minerals Limited (ASX: NTU) is focused on development of rare earth elements. It is a publicly traded company that operates in critical mineral supply chains.
Executive Chairman: Mick Curtis
Executive Director & CFO: Shane Hartwig
Business email: shartwig@northernminerals.com.au
Mobile Phone: +61 412 305 554
Stock Symbol: NTU
Data description:
Operational Data
Strategical data: potential projects, geological and mining researches in various countries, data on research of competitors
R&D data
Financial data
Employees personal data
Corporate email archives including Nick Curtis and Shane Hartwing
Data on shareholders and potential investors",
Nutec Group,https://nutec.com,"NUTEC is a producer of high-temperature insulation fibers. It provides blankets, fiber, papers, modules, boards, vacuum-formed shapes, and wet products. The company caters to petrochemical, ceramic, power generation sectors, etc.",,$54.1 Million,204 gb,"Client lists
Business correspondence
Archived e-mails
Intellectual property of third parties","Nutec Group
https://nutec.com
NUTEC is a producer of high-temperature insulation fibers. It provides blankets, fiber, papers, modules, boards, vacuum-formed shapes, and wet products. The company caters to petrochemical, ceramic, power generation sectors, etc.
Revenue: $54.1 Million
Data volume: 204 gb
Data description:
Client lists
Business correspondence
Archived e-mails
Intellectual property of third parties",
Pavilion Construction LLC,https://www.pavilionconstruction.com,"Operator of a sustainable and affordable housing construction company. The entity offers feasibility and cost studies, pre-construction, design-build and assist, risk and safety management, and sustainability services. The company is licensed in 11 western states and prioritizes communication, safety, and ethical standards.",Construction,,,,"Pavilion Construction LLC
https://www.pavilionconstruction.com
Operator of a sustainable and affordable housing construction company. The entity offers feasibility and cost studies, pre-construction, design-build and assist, risk and safety management, and sustainability services. The company is licensed in 11 western states and prioritizes communication, safety, and ethical standards.
CEO: Derek Mannelin
Business email: dmannelin@pavilionconstruction.com
Owner: Brian Gerritz
Business email: bgerritz@pavilionconstruction.com
Mobile Phone: +1 (503) 704-4314
Pavilion Construction LLC business contents.txt
pavilionconstruction.com_business_1.7z pavilionconstruction.com_business_2.7z pavilionconstruction.com_business_3.7z pavilionconstruction.com_business_4.7z pavilionconstruction.com_business_5.7z pavilionconstruction.com_business_6.7z pavilionconstruction.com_business_7.7z pavilionconstruction.com_business_8.7z pavilionconstruction.com_business_9.7z pavilionconstruction.com_business_10.7z pavilionconstruction.com_business_11.7z pavilionconstruction.com_business_12.7z
Pavilion Construction LLC CAD contents.txt
pavilionconstruction.com_CAD_1.7z pavilionconstruction.com_CAD_2.7z pavilionconstruction.com_CAD_3.7z pavilionconstruction.com_CAD_4.7z pavilionconstruction.com_CAD_5.7z pavilionconstruction.com_CAD_6.7z pavilionconstruction.com_CAD_7.7z pavilionconstruction.com_CAD_8.7z pavilionconstruction.com_CAD_9.7z pavilionconstruction.com_CAD_10.7z pavilionconstruction.com_CAD_11.7z pavilionconstruction.com_CAD_12.7z pavilionconstruction.com_CAD_13.7z pavilionconstruction.com_CAD_14.7z pavilionconstruction.com_CAD_15.7z
Pavilion Construction LLC finance contents.txt
pavilionconstruction.com_finance_1.7z pavilionconstruction.com_finance_2.7z pavilionconstruction.com_finance_3.7z pavilionconstruction.com_finance_4.7z pavilionconstruction.com_finance_5.7z pavilionconstruction.com_finance_6.7z pavilionconstruction.com_finance_7.7z pavilionconstruction.com_finance_8.7z pavilionconstruction.com_finance_9.7z pavilionconstruction.com_finance_10.7z pavilionconstruction.com_finance_11.7z pavilionconstruction.com_finance_12.7z pavilionconstruction.com_finance_13.7z pavilionconstruction.com_finance_14.7z pavilionconstruction.com_finance_15.7z pavilionconstruction.com_finance_16.7z pavilionconstruction.com_finance_17.7z pavilionconstruction.com_finance_18.7z pavilionconstruction.com_finance_19.7z pavilionconstruction.com_finance_20.7z
Pavilion Construction LLC mail contents.txt
pavilionconstruction.com_mail_1.7z pavilionconstruction.com_mail_2.7z pavilionconstruction.com_mail_3.7z pavilionconstruction.com_mail_4.7z pavilionconstruction.com_mail_5.7z pavilionconstruction.com_mail_6.7z pavilionconstruction.com_mail_7.7z pavilionconstruction.com_mail_8.7z pavilionconstruction.com_mail_9.7z
Pavilion Construction LLC personal contents.txt
pavilionconstruction.com_personal_1.7z pavilionconstruction.com_personal_2.7z pavilionconstruction.com_personal_3.7z pavilionconstruction.com_personal_4.7z pavilionconstruction.com_personal_5.7z pavilionconstruction.com_personal_6.7z pavilionconstruction.com_personal_7.7z pavilionconstruction.com_personal_8.7z pavilionconstruction.com_personal_9.7z pavilionconstruction.com_personal_10.7z pavilionconstruction.com_personal_11.7z pavilionconstruction.com_personal_12.7z
usa
construction
",USA
Panacea Healthcare Services,https://www.panaceahcs.com,Panacea Healthcare Services is a provider of revenue cycle management and business solutions.,,$5M Million,300 GB,"Finance data.
Employees, clients and customers confidential data.
Business data.
Clients and customers financials and PII.
Files from CEO PC.
Operational and business files.
Internal and external email correspondence.","Panacea Healthcare Services
https://www.panaceahcs.com
Panacea Healthcare Services is a provider of revenue cycle management and business solutions.
CEO: Joan Myers Gordon
Mobile Phone: +1 (866) 731-6777
Vice President & Managing Partner: James Gordon
Business email: james@panaceahcs.com
Mobile Phone: +1 (954) 536-1473
Revenue: $5M Million
Data volume: 300 GB
Data description:
Finance data.
Employees, clients and customers confidential data.
Business data.
Clients and customers financials and PII.
Files from CEO PC.
Operational and business files.
Internal and external email correspondence.",
