Company,Company Description,Date Victimised,Number of Clicks,Status
olea.com,Olea Kiosks Resources for every step of the way. See Olea Kiosk designs in action and get a feel for self-service. Understand how self-service can be used to enhance productivity. Review our best practices to ensure your deployment is successful. Ole...,2024-07-26 17:39:00,8512,Published
cloudminds.com,"Cloudminds is a cloud intelligent robot operator. We provide professional robot operation services to clients from various industries and have launched service robot solutions such as welcoming robots using cloud intelligence, security patrol robots,...",2024-07-26 17:35:00,8609,Published
jdbchina.com,"JDB Group is a Chinese manufacturer of nonalcoholic beverages, headquartered in Dongguan, Guangdong province in the People's Republic of China. Its herbal tea products are among the most popular beverages in China, competing with brands like Pepsi an...",2024-07-26 17:33:00,8495,Published
hpo.pe,"HPO - HEAVEN PETROLEUM OPERATORS | 4440 seguidores en LinkedIn. Somos conocimiento, experiencia, calidad y resultados. | HPO",2024-07-26 17:31:00,2616,Published
nationaldentex.com,"Data part #4 SQL,DOC National Dentex is a full-service dental lab partner that offers a wide range of services, products and solutions for dentists and their patients. Whether you need crowns, bridges, veneers, implants or orthodontics, National Dent...",2024-07-26 17:29:00,2901,Published
richmont.edu,"Clinical Director of the Richmont Trauma Center and Assistant Professor. Licensed Professional Counselor, Approved Clinical Supervisor. Ph.D. Counselor Education & Supervision, Mercer University; M.A. Marriage & Family Therapy with certificates in Ch...",2024-07-26 16:37:00,2903,Published
aei.cc,"Acre-Feet of Pool Volume. I-Move KY I-265, I-64 & I-71 Design Build. Louisville, Jefferson, Kentucky. AEI was the lead design firm for a four-year, $180 million design-build construction project including improvements to I-265, I-64 and I-71 through...",2024-07-26 16:29:00,35791,Published
gitiusa.com,"Singapore-based Giti Tire Group, one of the largest tire companies in the world, has been in the tire business since 1951. Giti Tire operates eight manufacturing plants and produces a broad range of tire products, serving major original equipment veh...",2024-07-26 16:28:00,33163,Published
carsonteam.com,"Carson has been a Northwestern leader in energy & transportation solutions for over 85 years. Today, we operate heavily in Oregon, Washington, Idaho, and California. We keep growing by providing best-in-class service and drastically improving the sav...",2024-07-26 16:26:00,35493,Published
bkf-fleuren.de,Unser Familienunternehmen BKF A. Fleuren GmbH wurde im Jahr 1974/75 als Fensterbauunternehmen gegründet und zählt heute rund 100 Mitarbeiter. Auf einer Produktionsfläche von über 20.000 Quadratmetern produzieren wir modernste Kunststofffenster und -T...,2024-07-26 16:00:00,2847,Published
planethomelending.com,"Planet Home Lending offers home loans for purchase, refinance, cash-out, and renovation. See customer reviews, competitive rates, and career opportunities at Planet.",2024-07-26 15:55:00,8265,Published
bnpmedia.com,"Established in 1926, we are a fourth-generation, family-run media enterprise based in Birmingham, Michigan. BNP Media is the trusted choice of millions of B2B professionals globally, providing superior information through a diverse range of reliable...",2024-07-26 15:53:00,7452,Published
atcdi.com.cn,"The Kapari Water Supply Project, successfully implemented by ATCDI, brings clean water access to the remote Kapari Village in Abau District, Central Province.",2024-07-26 08:40:00,2747,Published
homelandvinyl.com,"Find all the information you need to know in our homeowners guide. Homeland Vinyl Products, Inc. creates a wide range of high quality residential and commercial vinyl products including vinyl fence, vinyl deck, vinyl railing, and specialty products.",2024-07-26 08:33:00,2765,Published
sandytownshippolice.org,"Sandy Township Police is proud to partner with and serve our distinct neighborhoods of Oklahoma, West Sandy, West Liberty, Kiwanis Park, Adrian, Iselin Heights, Singing Hills, Clear Run, Indian Hills, Sabula, and Treasure Lake. The Sandy Township Pol...",2024-07-26 08:29:00,2717,Published
glnf.fr,La Grande Loge nationale française est une obédience maçonnique française fondée en 1913 sous le nom de « Grande Loge nationale indépendante et régulière pour la France et ses colonies,2024-07-25 17:28:00,2289,Published
fbrlaw.com,"UPDATED!!! All business life of company available inside Quickbook files. Fusco, Brandenstein & Rada, P.C. Your Experienced Workers’ Compensation and Social Security Disability Attorneys Are you unable to work or has your income been impacte...",2024-07-24 18:15:00,5552,Published
tccfleet.com,"TCC’s history began in 1917 with, the founder of Tai Chong Hsiang Steamship Company, Mr. C.S. Koo’s establishment of Tai Chong Hsiang Customs Brokerage Company in 1917. Leaving behind a poverty-stricken childhood, Mr. C.S. Koo was determined to set o...",2024-07-22 15:46:00,7793,Published
kns.com,"Kulicke & Soffa Ticker NASDAQ: KLIC Founded in 1951 and headquartered in Singapore, Kulicke & Soffa is a semiconductor and electronics manufacturing company. ### In light of the unexpected termination of negotiations and the emergence of new...",2024-07-22 15:38:00,7087,Published
customssupport.be,"We are specialised in - Import, export, and transit - Goods Classification - Customs Consultancy",2024-07-18 16:18:00,4516,Published
barkingwell.gr,"Barking Well Media was founded by the Greek entrepreneur Nikos Koklonis, who was selected by Fortune magazine for its ""40 under 40"" list as one of the top entrepreneurs of 2015 in Greece under 40 years old.",2024-07-18 14:57:00,6914,Published
troyareasd.org,"The Troy Area School District is a school district of the third class organized under state law in Bradford County, PA. It contains the boroughs of Alba, Burlington, Sylvania and Troy, and the townships of Armenia, Burlington, Columbia, Granville, So...",2024-07-18 14:56:00,5043,Published
paysdelaloire.fr,"Regional aid and services foreconomy and innovation Industry, commerce, agriculture, fishing, food or research... I discover all the regional aid and services useful to my projects for my business, my farm or my organization.",2024-07-18 14:53:00,4586,Published
glsco.com,"We here at Great Lakes Supply eat, breathe, and sleep PTACs. We know them all, sell them all and stock them all. We proudly serve the hospitality, health care, assisted living, educational and multi-family housing industries, and enjoy having an...",2024-07-18 14:50:00,4578,Published
goldstarmetal.com,GOLDSTAR METAL is an aluminium manufacturing company committed to delivering high-quality standard parts that meet the needs of our customers across various industries.,2024-07-18 14:48:00,4260,Published
lothar-rapp.de,Drilling and blasting companies,2024-07-18 14:45:00,3244,Published
albonanova.at,Welcome to our 4 star superior hotel in Zürs on Arlberg. The perfect starting point for your winter holiday with wellness & gourmet restaurant.,2024-07-18 14:41:00,4401,Published
iteam.gr,Artificial intelligence (AI) is a broad and general term that refers to any type of computer software that engages in human like activities,2024-07-18 14:40:00,4389,Published
claycountyin.gov,"Clay County is a county located in the northeastern part of the U.S. state of Florida along the west bank of the St. Johns River. As of 2020, the population was 218,245 and in 2023, that number increased to 232,439, making it the third largest county...",2024-07-18 14:38:00,4144,Published
wattlerange.sa.gov.au,"Wattle Range Council is committed to the principle of honest, open and accountable government and encourages community participation in the business",2024-07-18 14:36:00,4288,Published
lockbit.newcontacts,"You can contact the LockBit boss on the contacts below, waiting for an answer can take some time from 1 minute to several days depending on the workload. With questions about decryption to write only in a chat on the site, if the person who encrypte...",2024-07-18 14:01:00,3097,Published
assih.com,"Alameda Healthcare is a corporate entity operating in the healthcare field aiming to lead the private health care sectors in Egypt, MENA Region, East Europe, and East Asia into new frontiers building on Alameda’s vast experience and reputation",2024-07-17 18:28:00,4030,Published
gptchb.org,"Established in 1986, the Great Plains Tribal Leaders' Health Board (GPTLHB) is an organization representing the 18 tribal communities in the four-state region of South Dakota, North Dakota, Nebraska, and Iowa. Through public health practices and...",2024-07-17 13:47:00,4610,Published
piedmonthoist.com,"Starting from scratch in 1993 with not much more than several good supplier relationships, Piedmont Hoist & Crane has grown from a small service firm doing inspections and repairs to an organization of over 30 employees with 200 years of combined...",2024-07-17 13:44:00,4463,Published
plantmachineworks.com,"Plant Machine Works is a 62,000-square-foot, full-service machine shop with turn-key machining and fabrication capabilities and large-scale machining for oversized components that many shops can’t handle. Our experienced repair shop specializes in...",2024-07-17 13:43:00,3865,Published
energateinc.com,Energate Inc. provides interactive energy management solutions that enable next-generation energy management and the connected home. Energate’s vertically integrated Consumer Connected Demand Response™ platform provides management two-way communicat...,2024-07-17 13:39:00,3920,Published
norton.k12.ma.us,"Norton High School is a company that employs 250to499 people and has 25Mto50M of revenue. The company is headquartered in Norton, Massachusetts.",2024-07-17 12:39:00,3979,Published
kbc-zagreb.hr,"KBC Zagreb is a company that operates in the Hospital & Health Care industry. It employs 2,001-5,000 people and has $500M-$1B of revenue. we have: Medical records, patient exams and studies; doctors' research papers; surgery, organ and donor data...",2024-07-17 07:54:00,5748,Published
fairfieldmemorial.org,"Fairfield Memorial Hospital is a fully accredited, not-for-profit critical access hospital. The hospital has 25 acute-care beds and a workforce of over 400 employees. The medical staff at Fairfield Memorial Hospital is comprised of over 90 creden...",2024-07-17 07:51:00,4658,Published
townandforest.co.uk,"ALL CLIENT CASES We are a dedicated team of experts who are passionate about providing the best possible service to our clients. With a diverse range of skills and expertise, we are dedicated to delivering high quality results and ensuring client...",2024-07-15 14:28:00,3353,Published
concorddirect.com,"FILES UPDATED!!! Your organization is a unique mix of moving parts, and increasing your ROI, optimizing your channels, and growing your audience requires careful coordination. We’re direct response experts who have been creating successful program...",2024-07-15 14:18:00,4602,Published
competenz.co.nz,"FILES UPDATED!!! Passports Agreements Confidential data We arrange training for apprenticeships and trainee-ships through on-the-job qualifications, supporting employers, job seekers and people with jobs in our industries. We have stolen a lot...",2024-07-15 14:15:00,3487,Published
latinusa.co.id,"FILES UPDATED! 5 Gb private files! Internal and external company audit documents, claims, budgets, analysis, finance private info, etc. PT Pelat Timah Nusantara Tbk (NIKL) atau Latinusa, didirikan pada tanggal 19 Agustus 1982 sebagai perusaha...",2024-07-15 13:52:00,2744,Published
nicholsfleet.com,Nichols Fleet Equipment has been building the best service trucks in the industry. About 2 TB of private information. Drawings and developments. Banking information and more,2024-07-14 05:37:00,1795,Published
ws-stahl.eu,"Passion for steel. Since 1919 Bright steel. Bar steel. Steel tubes. Pre-processing. Materials expertise. The Westfälische Stahlgesellschaft group of companies comprises trading companies in various regions of Germany and, with the Plettenberg drawi...",2024-07-04 09:55:00,4244,Published
merrymanhouse.org,"Merryman House Domestic Crisis Center is committed to improving the lives of those affected by domestic violence: women, men, and children. We are the state-designated and only certified domestic violence program in the Purchase Area Development...",2024-07-02 10:44:00,4065,Published
federalreserve.gov,Federal banking is the term for the way the Federal Reserve of the United States distributes its money. The Reserve operates twelve banking districts around the country which oversee money distribution within their respective districts. The twelve ci...,2024-06-23 20:28:00,1895253,Published
manncorp.com,"UPDATED Manncorp offers equipment, service, and financing solutions for PCB assembly. Learn how they can help you with worry-free selection, protection, setup, support, training, and diagnostics. Finance, all Quickbook data, HR, KeePass with al...",2024-06-14 13:51:00,6049,Published
ccmaui.org,The Community Clinic of Maui is a nonprofit healthcare organization that serves the community of Maui as Mālama I Ke Ola Health Center. We are a proud member of the national Community Health Center movement which was birthed by the civil rights movem...,2024-06-10 21:38:00,9455,Published
craigsteven.com,"Craig/Steven Development Corporation has earned a solid reputation in the development of shopping centers, office buildings, mixed-use developments, industrial and multi-family residential projects.",2024-06-05 18:02:00,2386288,Published
emainc.net,"Electronic Maintenance Associates (Electronic Maintenance Associates, Inc. (dba EMA) provides products, services, training, and more related to Medium Voltage Variable Frequency Drives. Celebrating our 33rd year, over 98% of our customers say they ar...",2024-06-05 07:34:00,11203,Published
smithandcaugheys.co.nz,"In 1880, showing great courage and enterprise for the time, Marianne Smith (nee Caughey) established her own drapers and millinery. With the vision of providing the early pioneers of Auckland and beyond with quality merchandise at good value and with...",2024-06-02 13:19:00,11641,Published
heras.co.uk,** UPDATED ** SCREENS AVAILABLE ** Heras is an European leading end-to-end supplier of permanent and mobile perimeter protection solutions. We operate in over 24 countries and employ more than 1100 highly skilled experts. Experts in perimeter p...,2024-06-02 13:05:00,15497,Published
cfymca.org,"Founded in 1885, the YMCA of Central Florida is a non-profit youth development. The Y provides kids, adults, families, and communities with support, programs, and classes such as aquatics and fitness. The YMCA of Central Florida is based in Orlando,...",2024-06-01 17:28:00,11747,Published
aytosanlorenzo.es,"450GB Data | Ayuntamiento San Lorenzo de El Escorial is a company that operates in the Government industry. It employs 2,001-5,000 people",2024-05-30 22:56:00,11872,Published
valleyjoist.com,"Screens was uploaded Valley Joist + Deck is a company that designs, engineers, and manufactures steel joist and deck product systems for commercial and industrial projects. It has over 60 years of experience, a family culture, and a commitment to...",2024-05-27 12:49:00,23203,Published
longviewoms.com,"Our mission is to help patients live healthier lives. We provide a caring, compassionate environment where your comfort and health is of primary importance.",2024-05-25 11:12:00,15298,Published
sysroad.com,SYSROAD is a leader in the field of integrating high value-added IT and telecoms solutions. It uses the power of technology to support business growth in the digital age. Our expertise in innovative technologies from manufacturers and publishers such...,2024-05-25 11:10:00,15337,Published
highwaystrust.com,Highways Infrastructure Trust operates as an infrastructure investment trust. The Company invests in roadways and highways projects. Highways Infrastructure Trust serves customers in India.,2024-05-25 11:07:00,13801,Published
cafesnovell.com,"The structure of the Novell Group is made up of several companies oriented to the different business units: Restaurants , with service in both bean and ground coffee and capsules; Retail , aimed at domestic consumption and large stores; Catering , re...",2024-05-25 11:06:00,13944,Published
sunpetro.com,SunPetro takes pride in having established itself as India’s second largest private oil producer.,2024-05-25 11:02:00,13906,Published
kharafiglobal.com,Kharafi Global was established in 1993 by founding family members Waleed Al-Kharafi and Haidar Al-Naqeeb to develop and operate food beverage operations in Kuwait and neighboring Gulf countries.,2024-05-25 11:01:00,13614,Published
mgops.sedziszow-mlp.pl,The Social Welfare Center conducts its statutory activities based on applicable regulations. We grant monetary and non-monetary benefits.,2024-05-25 10:56:00,13879,Published
pressurejet.com,"PressureJet is ready to prove ""THE BEST QUALITY"" among all manufactures in India and also guarantes ""THE MOST REASONABLE PRICE""",2024-05-25 10:53:00,13221,Published
multigroup.info,"Multi Group distributes industrial kitchen equipment. The Company offers a wide range of refrigerators, deep freezers, ovens, cooking stoves, electric grills, dish washers, and accessories. Multi Group serves customers in France.",2024-05-25 10:48:00,13215,Published
valleylandtitleco.com,"Once you have invested in a home, you may want additional information on how to keep it looking beautiful all year long. Valley Land Title Co. makes it easy for you to successfully complete any home improvement project by providing you with important...",2024-05-23 22:31:00,12451,Published
londondrugs.com,"London Drugs is a Canadian retail pharmacy chain based in Richmond, British Columbia. As of June 2021, the chain has 78 stores in the provinces of British Columbia, Alberta, Saskatchewan, and Manitoba. In addition to pharmacy services, London Drugs l...",2024-05-23 06:56:00,13463,Published
telekom.com,"Deutsche Telekom AG, trading as Deutsche Telekom is a German telecommunications company headquartered in Bonn and is the largest telecommunications provider in Europe by revenue. It was formed in 1995 when Deutsche Bundespost, a state monopoly at the...",2024-05-22 17:34:00,16169,Published
powertestdyno.com,"Power Test. Test & Measurement Equipment, Manufacturing. Revenue $32.6 Million 5 Terabytes of private information. 4500000 files. Passports, bank statements, credit cards, blueprints, personal information of clients and employees and much more.",2024-05-22 16:31:00,12659,Published
originalfootwear.com,"Original Footwear is the leading manufacturer of occupational and tactical footwear for military, law enforcement and first responders. Founded in 1999, and based in Morrison. Tennessee, Original Footwear is the parent of Altama, Original S.W.A.T and...",2024-05-21 19:16:00,17575,Published
ramfoam.com,"Ramfoam manufacture and engineer foam for all aspects of the sports and leisure industries. We supply raw materials through to finished products, branded or unbranded, to Corporate clients, private and social clubs, schools, universities and even to...",2024-05-21 15:26:00,11963,Published
qualityplumbingassociates.com,"Quality Plumbing Associates, Inc. is committed to providing our clients and customers with the best possible value, quality and workmanship available in the industry. We will strive to be pioneers and leaders in the plumbing field by continually educ...",2024-05-20 14:13:00,10628,Published
carcajou.fr,"Groupe CARCAJOU : engineering and industrial equipment designer 270 gigabytes of data were stolen, including: Photo and video of the equipment produced, information about purchases and partners, insurance on ETREM/ALTAIIRE/SERIMECA (Carcajou is the...",2024-05-18 16:47:00,12750,Published
heartlandhealthcenter.org,Heartland Health Center is your home for healthcare. Our providers practice using an integrated approach. This means that staff work as a team to address all aspects of your health.,2024-05-18 13:50:00,13966,Published
sunwave.com.cn,2023-08-07 [公司新闻] 倒计时3天丨Sunwave三十周年庆典暨全球合作伙伴大会，即将绽放精彩! 关于三维 三维通信股份有限公司是国际主流的无线通信解决方案供应商，行业公认的无线信号覆盖、无线专网通信、无线信号安全、卫星通信服务领域的专家。,2024-05-16 12:06:00,23593,Published
acla.de,Als einer der führenden europäischen Hersteller von technischen Artikeln aus Polyurethan-Elastomeren bieten die ACLA-WERKE GMBH für zahlreiche Einsatzgebiete anwendungsorientierte und wirtschaftliche Problemlösungen an.,2024-05-14 09:35:00,9856,Published
21stcenturyvitamins.com,"https://mega.nz/folder/E3kmAZyT#KkvAaGlF3g0Pud4cwhxZpg The remaining data is bought in private. 21st Century, one of the largest international manufacturers of dietary supplements",2024-05-14 07:41:00,12417,Published
wichita.gov,UPDATE: A lot of city's data including 500GB mssql databases available for sell if no negotiation reached until 15th. Msg offers. UPDATE2: DATA IS SOLD Wichita is the most populous city in the U.S. state of Kansas and the county seat of Sedgwick...,2024-05-14 07:34:00,14052,Published
oseranhahn.com,"Company data will be available via a link at the bottom of the page. Oseran Hahn P.S. is a legal firm that offers a variety of services in the field of law. The company's practice areas include Business and Corporate Law, Litigation, and Condo L...",2024-05-13 13:54:00,11892,Published
hbmolding.com,Company data will be available via a link at the bottom of the page. HB Molding was founded in 1998 and originally located in the south side of Louisville. Due to our ability to quickly react to customer demands and opportunities we have grown t...,2024-05-13 13:40:00,10048,Published
contest.omg,"Объявляю конкурс Для участия в конкурсе необходимо связаться с родственниками или бедолагой, который скорее всего не удачно миксанул крипту в обмен на мою и привлёк к себе внимание ФБР, а вместе с ним и награду в 10 миллионов долларов за свою го...",2024-05-10 18:10:00,12729,Published
colonialsd.org,https://mega.nz/folder/l60i2aLR#1pTmoxhVwJrSvVhJ1V3F5g We are publishing sample partial (~50GB) from the data of Colonial School District. We have more 500GB available to sell. Contact us for a deal before 26th May with offers. If we do not receiv...,2024-05-10 06:31:00,11868,Published
incegroup.com,"ABOUT INERGROUP. We improve, manage, and deliver labor-intensive processes within our customers' manufacturing and distribution facilities. With our fixed cost pricing model and managed workforce deliverables, our Engineers work directly with your op...",2024-05-09 17:43:00,12111,Published
iaconnecticut.com,"Welcome to the Insurance Association of Connecticut. For over 50 years, the Insurance Association of Connecticut (IAC) has been the voice of insurers doing business in Connecticut. We represent the interests of insurers both large and small, foreign...",2024-05-09 17:42:00,11410,Published
indigo.ca,"Shop for books, gifts, and more at Indigo.ca, the online destination for Canada's biggest bookstore. Find new releases, bestsellers, exclusives, and more in various formats and genres.",2024-05-09 17:40:00,11016,Published
gruppobeltrame.com,"Il Gruppo. Attivo dal 1896 nel settore siderurgico, AFV Gruppo Beltrame è sinonimo di eccellenza e innovazione nella produzione di laminati mercantili e profili speciali per molteplici ambiti di impiego: costruzioni edili, cantieristica navale, macch...",2024-05-09 17:37:00,11625,Published
equatortrustees.com,"Equator Trustees Limited is licensed by the Seychelles Financial Services Authority (FSA) as a Corporate and Trustee Service Provider, and has offices in Victoria, the capital city of Seychelles on the island of Mahe. Call Us: +248 422 6205. Fax Us:...",2024-05-09 17:36:00,10605,Published
ecotruck.com.br,"A EcoTruck® fornece uma série de Tecnológicas para gestão ao mercado de Transporte, assegurando o mais moderno e eficiente sistema de soluções integradas para redução de custos com pneus, combustíveis e manutenção. As Ferramentas, Programas e Produto...",2024-05-09 17:35:00,10066,Published
cultivarnet.com.br,"Com uma equipe administrativa e comercial experiente, dedicada, proativa e competente a Cultivar se destaca também por seu amplo portfólio, com diversos fornecedores nos segmentos de agricultura e pecuária, indo desde os fertilizantes e corretivos, a...",2024-05-09 17:33:00,10343,Published
ckfinc.com,"January 31, 2023 - CKF, Inc. Strengthens Position in Sustainable Packaging Market Sector with $10 million Capital InvestmentJanuary 31, 2023 - CKF, Inc. Strengthens Position in Sustainable Packaging Market Sector with $10 million Capital Investment N...",2024-05-09 17:32:00,10020,Published
besttaxfiler.com,Yupp TV coupon Free $20.00 (www.Yupptv.com) Free. ITIN Application (worth of $29.99 service) (for Certification filing only) Free. FBAR (worth of $29.99 service) Free. Extension Filing (worth of $19.99 service) Free. 7 years assistance to resolve you...,2024-05-09 17:30:00,9966,Published
amsoft.cl,"Soluciones tecnológicas que impulsan tu negocio.Somos tu partner para transformar tu negocio de la mano de la tecnología; desarrollamos tu próxima aplicación, seremos tu equipo de profesionales, te asesoramos para dar el salto digital. Leer más Sobre...",2024-05-09 17:29:00,9915,Published
faacgroup.com,"Fabbrica Automatismi Apertura Cancelli (FAAC) was founded in 1965 and immediately became synonymous with automation for gates all around the world. Quality, safety, reliability, satisfaction, passion and research are the values on which the company l...",2024-05-09 17:27:00,9760,Published
worldlearning.org,"EDUCATION. A global development and exchange organization delivering education programs in more than 150 countries. Built on 90 years of expertise, our bottom-up and top-down approach serves individuals and communities at all levels.We have the uniqu...",2024-05-09 17:26:00,9569,Published
wisconsinindustrialcoatings.com,"Turn to the experienced professionals at Wisconsin Industrial Coatings for superior quality industrial coating and sandblasting services. Our facility includes 105,000 square feet of shop space and 12 overhead cranes with a maximum capacity of 50,000...",2024-05-09 17:24:00,9652,Published
mckimcreed.com,"McKim & Creed! You have 14 days left to avoid the devastating consequences of having your data published. We are ready to update your data that contains the following: - Personal data of your employees, customers and partners - Positive drug tes...",2024-05-09 16:54:00,9322,Published
nampak.com,"We will use the contacts we gain for our future phishing campaigns. Nampak has been attacked at 20.03.24 so partners and affiliates can check how they care about you. Nampak is Africa’s leading diversified packaging manufacturer, and has been listed...",2024-05-09 16:53:00,9386,Published
taylorlaw.net,"Taylor Law Offices, P.C. was established in 1980 as a general practice law firm and is located in Effingham, Illinois. We have seven attorneys with more than ninety years experience providing legal services to individuals and business clients through...",2024-05-09 16:25:00,9443,Published
kjf-augsburg.de,"Die KJF Augsburg ist eines der größten Sozialunternehmen in Bayern. Wir sind Träger von über 80 Einrichtungen und Diensten in Schwaben und dem angrenzenden Oberbayern. Ob Kita, Berufsbildungswerk, Schule oder Klinik – die KJF Augsburg ist in fast all...",2024-05-09 16:20:00,9457,Published
disb.dc.gov,05/19/2021 DC health insurance marketplace: history and news of the state's exchange: 04/22/2021 DISB Celebrates April as Financial Literacy Month with Free Resources for District Residents: 04/19/2021 Insurance in a Time of Transition: Highlights Fr...,2024-05-09 16:18:00,9637,Published
tascoplumbing.com,"TASCO Plumbing & Mechanical Corp is a company that operates in the Construction industry. It employs 51-100 people and has $10M-$25M of revenue. The company is headquartered in Hialeah, Florida.",2024-05-09 16:13:00,9044,Published
tu-ilmenau.de,"Eine moderne, zukunftsfähige Universität benötigt einen internationalen Campus mit einem weltoffenen Umfeld, in dem Menschen in ihrer Vielfalt akzeptiert werden und Grundrechte sowie Wissenschaftsfreiheit nicht in Frage gestellt werden.",2024-05-09 14:53:00,15077,Published
uslinen.com,"We are a family-owned, professionally managed provider of uniforms, mats, and towels that values a positive customer experience. Honesty, integrity, and respect are the driving forces behind our services. We believe in accountability, reliability, an...",2024-05-09 14:51:00,13938,Published
sesenergy.org,"As one of New England's original energy management companies, Secure Energy has been a trusted vendor partner, aggregator, and authorized broker for leading national suppliers since the infancy of the energy management industry. Let our team with 175...",2024-05-09 14:49:00,12893,Published
lenmed.co.za,Maputo Private Hospital is Mozambique’s first multidisciplinary hospital. It is equipped with cutting edge facilities and is located in the heart of Maputo. The hospital offers services in both English & Portuguese.,2024-05-09 14:49:00,15166,Published
dagma.com.ar,"NUESTROS VALORES ""Con visión y perseverancia de crecimiento"" Nos basamos en la conﬁanza, el respeto y la lealtad para con nuestros empleados y clientes, porque entendemos que son la base para construir juntos.",2024-05-09 14:48:00,7916,Published
kimmelcleaners.com,100gb,2024-05-09 14:45:00,13460,Published
ccofva.com,"Based in Richmond, Virginia, we function like a family, with each related company working together. Our experienced management team provides you with in-depth knowledge and can develop customized solutions for your particular needs.",2024-05-09 14:41:00,7556,Published
ctc-corp.net,"For over 115 years, we have built and maintained partnerships with our customers by providing solutions that are essential to their business. With our versatile offering of rental service, laundry and dry cleaning service and janitorial products, we...",2024-05-09 14:40:00,13431,Published
casajove.com,"Vídeo corporatiu de Casa Jové. Amb 140 anys d'història, reafirmem el nostre compromís per fer del món un lloc millor, just, sostenible, socialment responsable, on prevalgui l'ètica i el compromís impregni les nostres accions. Servei tècnic reparació...",2024-05-09 14:37:00,7195,Published
torrepacheco.es,"Torre-Pacheco es un municipio español de la Región de Murcia, enclavado en la llanura del Campo de Cartagena, a 8 km de las playas del Mar Menor. Con 39 037 habitantes, es el sexto municipio de la Región en número de habitantes.",2024-05-09 14:35:00,7660,Published
habeco.com.vn,"HABECO cam kết uống có trách nhiệm. Đó là lý do tại sao chúng tôi cần đảm bảo rằng bạn ở trên độ tuổi uống rượu hợp pháp và được phép xem trang web này một cách hợp pháp. Bằng cách nhấp vào xác nhận ""Tôi đã đủ 18 tuổi"" là bạn đồng ý với các điều khoả...",2024-05-09 14:22:00,7606,Published
easternshipbuilding.com,"Commercial Shipbuilding. For more than 45 years, Eastern has delivered over 350 vessels for commercial clients. Our quality of construction and commitment to customers are key to our success. Let us build your next state-of-the-art craft. Learn More.",2024-05-09 14:17:00,7425,Published
redwoodcoastrc.org,"This website uses cookies to improve your experience while you navigate through the website. Out of these, the cookies that are categorized as necessary are stored on your browser as they are essential for the working of basic functionalities of the...",2024-05-09 14:14:00,7326,Published
gpaa.gov.za,"The Government Pensions Administration Agency (GPAA) administers pensions on behalf of its primary clients, the Government Employees Pension Fund (GEPF) and National Treasury You can contact the main system administrator on the contacts below, wai...",2024-05-09 14:05:00,7521,Published
universalservicesms.com,"About Us. Universal Services LLC offers the unique capability of in-house design, fabrication, and installation; saving cost, schedule, and coordination. Since 2004, Universal has provided quality electrical, mechanical, structural, and CNC Machining...",2024-05-09 14:01:00,7344,Published
rmhfranchise.com,"RMH Vision. RMH Franchise strives to be a multi-brand restaurant company with a dynamic culture, focused on operational excellence and engaged team members who create value for our guests and deliver a superior return to our investors.",2024-05-09 13:59:00,7516,Published
ksa-architecture.com,"KSA is a different breed of architecture firm. We are a team of skilled technicians and consultants with decades of expertise in sustainable design. top of page. Solving problems. Building trust. ""You gave us a building that has exceeded our grandest...",2024-05-09 13:55:00,7166,Published
themisbourne.co.uk,"The Misbourne School is a coeducational secondary school and sixth form located in Great Missenden, Buckinghamshire, England. The school has approximately 1020 students, and the sixth form has around 170 students, offering A-Levels as well as BTEC qu...",2024-05-09 13:52:00,7358,Published
calvia.com,"L'Ajuntament de Calvià és l'administració local del municipi de Calvià, a Mallorca. Consulta els serveis, les notícies i el registre electrònic.",2024-05-09 13:44:00,7509,Published
nybravestfcu.org,"Manage your finances better with a Checking Account from NY Bravest FCU. With our Internet Teller, managing your money has never been easier. Quickly check your balance, review transactions, and balance your checkbook all in one place!",2024-05-09 13:31:00,7203,Published
ufresources.com,"UF Resources Corporation is a privately held holding company based in University Park, Florida, offering administration, information technology and other support services. We make extensive use of technology to leverage our resources to provide effic...",2024-05-09 13:26:00,7565,Published
rjcorp.in,"RJ Corp has emerged as a powerhouse multinational company with flourishing businesses in a range of sectors which include beverages, quick service restaurants (QSR), ice-cream, dairy products, retail, healthcare, and education. The Group is reputed f...",2024-05-09 13:18:00,7289,Published
acla-werke.com,ACLA-WERKE offer a comprehensive range of high-grade squeeges for all cases of the daily screen printing practice which set a standard in the screen printing world thanks to a long experience in the application. The screen printer has a choice betwee...,2024-05-09 13:03:00,7262,Published
crinetics.com,"Crinetics is here for endocrine disease patients who are eager to find therapies that provide effective disease control and more simplicity in their lives. We have failed to reach an agreement with the Crinetics organization, given their unscrupul...",2024-05-09 13:01:00,7538,Published
tegaindustries.com,"Tega is a global leader in designing and manufacturing of ‘critical-to-operate’ consumables for the mining, mineral processing and material handling industries.",2024-05-09 11:45:00,9599,Published
vm3fincas.es,"Since 1980 we have offered comprehensive advice on the management, administration and sale of real estate. Our multidisciplinary team allows us to provide a highly qualified service covering all property needs. VM3 Fincas works for your peace of mind...",2024-05-09 11:38:00,10137,Published
garage-cretot.fr,Automotive Service & Collision Repair Consumer Services,2024-05-09 11:34:00,9110,Published
cttxpress.com,"As a thought leader in the logistics industry, CTT Express structurally invests in trend research and solution development.",2024-05-09 11:32:00,9256,Published
iitm.ac.in,,2024-05-09 11:29:00,9459,Published
