Company_Name,Website,Industry,HQ,Country,Description (Linkedin),Company Size,Date_Victimsed,NumViews (of threat),RansomDataSize,RansomDataType,RansomwareGroup
WILLIAMSRDM.COM,http://www.williamsrdm.com/,Manufacturing,"Fort Worth, Texas",United States,"WilliamsRDM, Inc., is a woman-owned, privately held small business known for its innovative product development and short-run, high-complexity precision manufacturing. Located in Fort Worth, Texas, the company develops and manufactures more than 200 unique productsâall designed in house for the aerospace, defense, and energy sectors. Among the many leading companies in these industries, WilliamsRDM has worked with Lockheed Martin, Boeing, Halliburton, and Northrop Grumman. Many of the USAâs most respected military aircraftâthe A-10, F-15, F-16, F-18,  F-22, F-35, and V-22âuse WilliamsRDM test equipment, cabling, and connectors to keep them flying. The company is also proud to manufacture a simple, affordable line of residential fire suppression products âStoveTop FireStopâthat protects more than a million American families each day.

For fifty years WilliamsRDM has been an example of ingenuity and can-do spirit in the heart of Fort Worth, Texas. We believe in American exceptionalism because we walk that walk every day. Weâve proven you donât have to be big to do big things, and weâd challenge you to find any other company our size with the engineering and manufacturing capabilities we field under one roof. The hundreds of innovative products weâve developed and manufactured for the likes of Lockheed Martin, Boeing, Northrop Grumman, and Halliburton say a lot about our competence in design innovation and high-complexity, short run, precision manufacture. The test equipment, cables, connectors, intelligent mobile power grid and other solutions weâve designed for defense, energy, and fire suppression attest to our capabilities. When others in our business wouldnât dare assume the risk, we put our money where our mouth is, funding development of our own proof-of-concept prototypes. Weâve earned our reputation: â...when others canât or wonât... Williams will!â",51-200 employees,"JUL 5, 2024",9490,104,['Intellectual Property'],Qilin
INFORIUS,http://www.inforius.be/,IT Services ,Gembloux,Belgium,"Consultance informatique, Audits informatiques,Missions dâexpertise

Inforius dispose de spÃ©cialistes et dâexperts passionnÃ©s par les nouvelles technologies qui mettent leur savoir-faire et leur expÃ©rience Ã  votre service. A lâÃ©coute de vos besoins, ils analyseront en dÃ©tail vos attentes et vous aideront Ã  choisir le produit qui rÃ©pond rÃ©ellement Ã  vos besoins ou vous proposeront des solutions sur mesure. Inforius se chargera Ã©galement de lâimplÃ©mentation des solutions informatiques, de la documentation et du suivi.

Notre consultance peut prendre diffÃ©rentes formes :

Audits techniques, analyse de faisabilitÃ© ou prÃ©-Ã©tudes de projets ;
Conception dâune infrastructure rÃ©seau : conseil et conception du plan de dÃ©ploiement ;
Conduite du projet : assistance Ã  la maÃ®trise de lâouvrage, conseil en matiÃ¨re de pilotage opÃ©rationnel, etc.

Inforius propose une gamme de produits Ã  destination des administrations",11-50 employees,"JUL 5, 2024",9397,45,['unknown'],Qilin
INTUITAE,http://www.intuitae.com/,Financial Services,Paris,France,"Depuis 2001, nous conseillons les familles fortunÃ©es soucieuses de pÃ©renniser leur patrimoine et de le transmettre aux gÃ©nÃ©rations futures.",11-50 employees,"JUL 5, 2024",9093,40,['Customer and Client Data'],Qilin
MUNICIPALITÃ LA GUADELOUPE,http://www.munlaguadeloupe.qc.ca/,Government Administration,La Guadeloupe,Canada,Municipalit La Guadeloupe is a company that operates in the Government industry. It employs 10to19 people and has 5Mto10M of revenue.,11-50 employees,"JUL 5, 2024",5942,7,"['Financial Data', 'Employee and HR data']",Qilin
CONSULTING RADIOLOGISTS,http://www.consultingradiologists.com/,Healthcare,"Edina, MN",United States,"Consulting Radiologists, Ltd. (CRL) is a physician-owned practice serving patients and providers throughout the upper Midwest for more than 90 years. We provide on-site services at more than 27 hospitals and clinics, and also provide teleradiology services to more than 60 healthcare organizations throughout the Upper Midwest.

CRL is a leader in outpatient imaging with four imaging centers. We are trusted to deliver a complete range of radiology services to the healthcare community. All CRL locations are ACR accredited.

IMAGING CENTER LOCATIONS:

CRL Women's Imaging
CRL Imaging 
Southdale Medical Building
6525 France Avenue South | Suite 110 | Edina, MN 55435
(952) 915-4320

LifeScan Minnesota
Southdale Medical Center
6545 France Avenue South | Suite 115 | Edina, MN 55435
(952) 893-1997",201-500 employees,"JUL 5, 2024",3550,70,"['Employee and HR data', 'Healthcare Data']",Qilin
MCSWEENEY / LANGEVIN,http://www.westrikeback.com/,Legal Services,Minnesota,United States,"McSweeney / Langevin has one purpose - helping the injured.  We do this by making sure victims and victims' families are adequately compensated for wage loss, medical expenses and pain and suffering.

There is no need for victims to deal with the stress and anxiety alone.  We will be there every step of the way to ensure you are treated fairly, your rights are protected, and you are compensated.",11-50 employees,"JUL 5, 2024",3606,274,"['Financial Data', 'Legal Documents']",Qilin
FIAB SPA,http://www.fiab.it/,Manufacturing,"Vicchio, Florence",Italia,"FIAB is a medical device company that for over 40 years has been manufacturing products and solutions for cardiac pacing, electrophysiology, ecg, electrosurgery, oxygen-therapy, electro-therapy. FIAB is located in Vicchio, Firenze, Italy and distributed in over 100 countries.",201-500 employees,"JUL 5, 2024",3637,118,"['Financial Data', 'Employee and HR data']",Qilin
PFAM,http://precisionflange.com/,Manufacturing,Texas,United States,"Precision Flange & Machine is located in Houston, Texas. We are a company dedicated to producing the highest quality product, at the best price",2-10 employees,"JUL 5, 2024",3530,144,['unknown'],Qilin
LOGIMODAL OPERAÃÃES LOGÃSTICAS,http://www.logimodal.com.br/,Agriculture,"SÃ£o Francisco do Sul , SC",Brasil," LOGIBRAS, atuando hÃ¡ mais de 12 anos no mercado logÃ­stico de SÃ£o Francisco do Sul/SC, em 2020 alterou sua razÃ£o social para LOGIMODAL OPERAÃÃES LOGÃSTICAS LTDA.

A alteraÃ§Ã£o da denominaÃ§Ã£o social, nome e logomarca vem consolidar a atuaÃ§Ã£o da empresa em serviÃ§os logÃ­sticos complexos e diferenciados, com rigorosos procedimentos de armazenagem e manuseio de cargas de alta qualidade em seu terminal multimodal.",51-200 employees,"JUL 5, 2024",3526,0,"['Financial Data', 'PII', 'Employee and HR data', 'Legal Documents', 'Intellectual Property', 'Databases', 'Utility and Infrastructure Data']",Qilin
GOLDEN ACRE,http://www.goldenacre.ca/,Food & Beverages,"Chertsey, Surrey",United Kingdom,"At Golden Acre, we specialise in importing and distributing great food from around the world.

Operating across 15 countries, we boast a wide range of delicious European and World Foods which we supply to Major Multiples, Wholesalers and Foodservice customers in the UK & Ireland.

Established in 1999, we have grown every year and today we work with over 100 manufacturers supplying both branded and private label products across chilled, ambient and frozen categories.

â¢ Dairy (Yogurts, Protein Shakes) 
â¢ Continental (Meats, Cheese & Fish)
â¢ World Foods (Polish, Romanian, American)
â¢ Home Baking (Chilled Pastry & Dough)
â¢ Free-From, Halal & Kosher

We support our customers with a host of services within NPD, Technical, Sales, Marketing and Supply-Chain to help build a sustainable presence in the UK. Providing professional insight on market data, consumer trends and the latest legislation.

Our diverse multi-talented team is drawn from a varied blue-chip background; and together we provide comprehensive sourcing, marketing and distribution expertise to our private label and branded customers.

In addition to our development work; we have a growing portfolio of our own brands, which includes Golden Acre Yogurt, Najma, Elsinore, Acti-Shake, Urban-Active and Enjoy!",51-200 employees,"JUL 5, 2024",3552,63,"['Customer and Client Data', 'Employee and HR data']",Qilin
A-AGROUP,http://www.a-agroup.com/,Contruction,Texas,United States,A&A Group is a company that operates in the Commercial & Residential Construction industry. It employs 20to49 people and has 10Mto25M of revenue.Ê,,"JUL 5, 2024",3679,685,"['Financial Data', 'Employee and HR data']",Qilin
ST VINCENT DE PAUL CATHOLIC SCHOOL,http://www.svdpvikings.com/,Education,"Mobile, AL",United States,"St. Vincent de Paul Catholic School provides a nurturing family environment that is traditional, yet progressive.  Students are valued as individuals and taught to utilize their unique abilities to master essential knowledge and skills; actively solve problems; and produce meaningful, relevant work.  St. Vincent de Paul champions each studentâs success and teaches to honor the values of Catholic identity through moral integrity and service to others.",1 employee,"JUL 5, 2024",3587,104,"['Financial Data', 'Customer and Client Data', 'Employee and HR data']",Qilin
HYDEFUEL.COM,http://www.hydefuel.com/,Food & Beverages,"Tupper Lake, New York",United States,Hyde Fuel delivers fuel and provides full-service heating in the Saranac Lake NY area.,2-10 employees,"JUL 5, 2024",3422,18,['Employee and HR data'],Qilin
SVMASONRY.COM,http://www.svmasonry.com/,Construction,"Phoenix, AZ",United States,"Sun Valley Construction is #1 of the largest, most respected masonry and concrete contractors in the Southwest. Our scope of work ranges from multi-million dollar sports complexes and government buildings to private residences - each of which we approach with the same level of professionalism and attention to detail.","501-1,000 employees","JUL 5, 2024",3446,110,"['Financial Data', 'Employee and HR data', 'Utility and Infrastructure Data']",Qilin
NORTHCOTTAGE.COM,http://www.northcottage.com/,Healthcare,"Norton, Massachusetts",United States,"The mission of the North Cottage Program, Inc. is to provide quality comprehensive residential substance addiction treatment to any addicted person",11-50 employees,"JUL 5, 2024",3426,6,"['Customer and Client Data', 'Databases']",Qilin
KINSLERFAMILYDENTISTRY,http://www.kinslerfamilydentistry.com/,Healthcare,Indiana,United States,,,"JUL 5, 2024",3518,9,"['Customer and Client Data', 'Healthcare Data']",Qilin
SYNNOVIS,http://www.synnovis.co.uk/,Healthcare,"London, England",United Kingdom,"Synnovis is a partnership between SYNLAB UK & Ireland, Guyâs and St Thomasâ NHS Foundation Trust, and Kingâs College Hospital NHS Foundation Trust, performing more than 32 million pathology tests a year across a network of routine and specialist laboratories.

Serving a population of 1.7 million in south east London, we bring together the very best in clinical, scientific and operational expertise to provide a pathology service which aims to create better outcomes for patients and make a positive difference to peopleâs health and wellbeing.

We work collaboratively with the NHS, SYNLAB, clinical users and other stakeholders â every sample we process represents an individual patient in our joint care, and we understand the important role we play in continually developing services to meet that important responsibility.","1,001-5,000 employees","JUL 5, 2024",3077,613,"['Customer and Client Data', 'Healthcare Data']",Qilin
PRINSOTEL.COM,http://www.prinsotel.com/,Hospitality,"Palma, Balearic Islands",Spain,"Family owned business, dedicated for over 30 years to providing unforgettable memories to families and couples by the mediterranean sea.

Located in Mallorca and Menorca, our hotels, apartments and villas are characterized by green and beautiful gardens full of bougainvillea, impeccable service and a wide range of gastronomic experiences.",201-500 employees,"JUL 5, 2024",3039,0,"['Customer and Client Data', 'Employee and HR data']",Qilin
POMALCA.COM.PE,http://www.pomalca.com.pe/,Manufacturing,Chiclayo,Peru,"Empresa Agroindustrial Pomalca is a leading agribusiness company based in Chiclayo, Peru. It is one of the country's major sugar producers.",,"JUL 5, 2024",2998,31.5,"['Employee and HR data', 'Utility and Infrastructure Data']",Qilin
THE SEATTLE PUBLIC LIBRARY,http://www.spl.org/,Cultural,Washington,United States,"We bring people, information and ideas together to enrich lives and and build community. Visit us at spl.org.",,"JUL 5, 2024",2343,0,"['Financial Data', 'PII', 'Customer and Client Data', 'Employee and HR data', 'Legal Documents', 'Databases']",Qilin
COMMONWEALTH SIGN,http://www.commonwealthsign.com/,Manufacturing,"Louisville, Ky",United States,"Based in Louisville Ky. Commonwealth Sign Company specializes in the manufacture, maintainance and repair of signs.  The company has been operational since 1979 and serves a host of industries, such as automotive, banking, health care, hotel, restaurant, and many more.  The in-house equipment of Commonwealth Sign Company offers a full range of manufacturing options, including vacuum formed, solar grade lexan, aluminum channel letter fabrication, full color digital printing for indoor and outdoor images, etc. Here at Commonwealth Sign Company we are dedicated to excellence and craftsmanship in all facets of our business.
We also service national accounts.  Contact us today for your sign needs.",11-50 employees,"FEB 3, 2024",2889,32,"['Financial Data', 'Customer and Client Data', 'Legal Documents', 'Intellectual Property', 'Utility and Infrastructure Data']",Qilin
MORDFIN,http://www.mordfin.com/,Financial Services,"GREAT NECK, New York",United States,"Built upon integrity and trust, The Mordfin Group is a highly regarded tax, accounting and advisory group, operating successfully for more than 90 years. Our unwavering commitment to personal service and responsiveness to our clients' needs has worked to strengthen relationships and build respect in the community. In this deep-rooted, carefully cultivated foundation, opportunities for growth abound. Together, we collaborate on a financial future of limitless possibilities

As clear-sighted, progressive thinkers and creative problem solvers, our firm succeeds in surpassing pace with the challenges and attendant needs confronting you in today's economy. We infuse these strengths with a genuine interest and enthusiasm in assisting you to achieve a sound financial future consistent with your vision.

Whether the challenge lies in growing your business, planning your retirement, or transitioning a business to the next generation, we will provide the knowledge and support you need to confidently and successfully achieve your goals. 

The professionals at The Mordfin Group insist on an in-depth knowledge of the businesses they serve. No professional, however competent, can do you justice until they understand your problems, challenges, and goals from the inside out. At The Mordfin Group your accountant becomes, in effect, a professional extension of your organization, using objectivity to spot a potential problem and proven expertise to solve it.",11-50 employees,"JAN 28, 2024",12289,314,"['Financial Data', 'PII', 'Customer and Client Data', 'Employee and HR data', 'Legal Documents', 'Intellectual Property', 'Healthcare Data']",Qilin
NEAFIDI,http:// neafidi.it,Financial Services,"Vicenza, VI",Italia,"Offriamo alle imprese servizi di garanzia, finanza agevolata e credito diretto.
Promuoviamo la crescita, lo sviluppo e il miglioramento delle aziende socie, efficientando la gestione finanziaria.


Per maggiori dettagli visita il nostro sito o scrivi a commerciale@neafidi.it",11-50 employees,"JAN 25, 2024",16881,88,"['Financial Data', 'PII', 'Customer and Client Data', 'Employee and HR data']",Qilin
WANNAGOCLOUD,http://wannagocloud.com/,IT Services ,"Dubai, Dubai",United Arab Emirates,"Founded in late 2016, WannaGo Cloud Services has gained great momentum in the GCC region while setting exceptionally high standards for itself along the way. 

Data is the new oil. We're heading towards a future where data, analytics and smart insights will be the most priced assets of a business, helping them design better products & services, and give them an edge over the competition. This exponential growth in data must be matched with equal advancements in storage techniques, analytics, connectivity, accessibility and  security; all of which can be enabled by cloud computing.

Cloud technology can no longer be marketed as an 'add-on'. Having access to a reliable back-up,  a scalable IT infrastructure and protection against cyberattacks is a requisite for any business that wants to flourish in an increasingly digitized world.  This is where we, WannaGo Cloud, come in.

Spearheaded by our CEO and Founder, Deepak Verma, we recognized the need for businesses to switch from a CAPEX to OPEX environments, with pay-as-you-go options enabling a more flexible, scalable IT Infrastructure.

The future is cloud-centric, and we want you to be a part of it. Don't procrastinate; we all know what happened to conglomerates such as Blackberry and Yahoo that resisted advantageous change.",11-50 employees,"JAN 25, 2024",16415,145,"['Customer and Client Data', 'Legal Documents']",Qilin
PROJECTSW,http://www.projects-world.com/,Manufacturing,"Riyadh, Riyadh",Saudi Arabia,"Projects world is a leader Saudi company Established in 2012, by the architect Shadi Salahie. Specialized in interior design & furniture supply",11-50 employees,"JAN 19, 2024",26640,103,"['Financial Data', 'PII', 'Customer and Client Data', 'Employee and HR data', 'Legal Documents', 'Intellectual Property', 'Databases', 'Utility and Infrastructure Data']",Qilin
F J O'HARA & SONS,http://www.fjohara.com/,Business Services,Massachusetts,United States,F J O'Hara & Sons Inc is a company that operates in the Information & Document Management industry.Ê,,"JAN 9, 2024",31140,0,"['Financial Data', 'PII', 'Customer and Client Data', 'Employee and HR data', 'Legal Documents', 'Databases', 'Utility and Infrastructure Data']",Qilin
HALLEONARD,http://www.halleonard.com.au/,Musicians,"Milwaukee, Wisconsin",United States,"Founded in 1947, Hal Leonard is the world's largest provider of music publications and music instruction materials. In its catalog of more than one million titles available in print and digitally, Hal Leonard represents many of the world's best-known and most respected publishers, artists, songwriters, and arrangers. Their global headquarters is in Milwaukee, WI, and their distribution and printing facilities are in Winona, MN. In addition, they have offices abroad in Australia, Belgium, China, Germany, the Netherlands, India, Italy, and Switzerland, as well as in London and Bury St. Edmunds in England.","501-1,000 employees","JAN 8, 2024",43913,75,"['Financial Data', 'PII', 'Customer and Client Data', 'Employee and HR data', 'Legal Documents', 'Databases']",Qilin
MOLNAR&PARTNER,http://https//www.molnar-bischof.de/,Hospitality,Bayern,Germany,Felix Bischof GmbH is a company that operates in the Fitness & Dance Facilities industry.Ê,,"JAN 8, 2024",40402,59,"['Financial Data', 'Customer and Client Data', 'Employee and HR data', 'Legal Documents', 'Databases']",Qilin
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
