Company Name,Description,Headquarters,Country,Website,Industry,Company Size,Specialities,Company Type,Followers
"WilliamsRDM, Inc.","WilliamsRDM, Inc., is a woman-owned, privately held small business known for its innovative product development and short-run, high-complexity precision manufacturing. Located in Fort Worth, Texas, the company develops and manufactures more than 200 unique products—all designed in house for the aerospace, defense, and energy sectors. Among the many leading companies in these industries, WilliamsRDM has worked with Lockheed Martin, Boeing, Halliburton, and Northrop Grumman. Many of the USA’s most respected military aircraft—the A-10, F-15, F-16, F-18,  F-22, F-35, and V-22—use WilliamsRDM test equipment, cabling, and connectors to keep them flying. The company is also proud to manufacture a simple, affordable line of residential fire suppression products —StoveTop FireStop—that protects more than a million American families each day.

For fifty years WilliamsRDM has been an example of ingenuity and can-do spirit in the heart of Fort Worth, Texas. We believe in American exceptionalism because we walk that walk every day. We’ve proven you don’t have to be big to do big things, and we’d challenge you to find any other company our size with the engineering and manufacturing capabilities we field under one roof. The hundreds of innovative products we’ve developed and manufactured for the likes of Lockheed Martin, Boeing, Northrop Grumman, and Halliburton say a lot about our competence in design innovation and high-complexity, short run, precision manufacture. The test equipment, cables, connectors, intelligent mobile power grid and other solutions we’ve designed for defense, energy, and fire suppression attest to our capabilities. When others in our business wouldn’t dare assume the risk, we put our money where our mouth is, funding development of our own proof-of-concept prototypes. We’ve earned our reputation: “...when others can’t or won’t... Williams will!”","Fort Worth, Texas",United States,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Ewilliamsrdm%2Ecom&urlhash=vxC3&trk=about_website,"Appliances, Electrical, and Electronics Manufacturing",51-200 employees,"Complex Electro-Mechanical Assembly with ESD Control, Build-to-Spec/Build-to-Print Electrical Panels & Enclosures, Custom Cables & Harnesses, Complex Equipment Retrofitting, 5-Axis Machining & Swiss Turning, and Engineering Hardware/Software Development",Privately Held,773
INFORIUS,"Consultance informatique, Audits informatiques,Missions d’expertise

Inforius dispose de spécialistes et d’experts passionnés par les nouvelles technologies qui mettent leur savoir-faire et leur expérience à votre service. A l’écoute de vos besoins, ils analyseront en détail vos attentes et vous aideront à choisir le produit qui répond réellement à vos besoins ou vous proposeront des solutions sur mesure. Inforius se chargera également de l’implémentation des solutions informatiques, de la documentation et du suivi.

Notre consultance peut prendre différentes formes :

Audits techniques, analyse de faisabilité ou pré-études de projets ;
Conception d’une infrastructure réseau : conseil et conception du plan de déploiement ;
Conduite du projet : assistance à la maîtrise de l’ouvrage, conseil en matière de pilotage opérationnel, etc.

Inforius propose une gamme de produits à destination des administrations","Isnes, Région wallonne",België / Belgique / Belgien,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Einforius%2Ebe%2F&urlhash=d_Jr&trk=about_website,Information Technology & Services,11-50 employees,null,Privately Held,"1,113"
Intuitae - Family Office,"Depuis 2001, nous conseillons les familles fortunées soucieuses de pérenniser leur patrimoine et de le transmettre aux générations futures.","Paris, -",France,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Eintuitae%2Ecom&urlhash=dzUw&trk=about_website,Financial Services,11-50 employees,"Family Office, Multi Family Office, Mono Family Office, Allocations d'actifs, Ingénierie patrimoniale, and Gouvernance familiale",Partnership,"2,278"
Municipalité La Guadeloupe,"La municipalité de La Guadeloupe est située dans la grande région touristique de Chaudière-Appalaches plus précisément sur le territoire de la MRC de Beauce-Sartigan. La Guadeloupe offre: un milieu industriel ou les emplois sont disponibles aux deux sexes, des services sportifs bien organisés et regroupés avec la paroisse voisine, des services de garderie, une piste cyclable asphaltée au centre du village qui suit l'ancienne voie ferrée, des services de protection incendie et de sécurité civile regroupés et bien structurés. Nous avons également deux écoles primaires, une belle pharmacie,dentisterie, optométrie, trois centres d'hébergement. Un important site récréo-touristique contribue au développement touristique de notre région avec l'ajout d'un terrain de camping, piscine extérieure et différents services dont un relais de quad et de motoneige,accueillant les utilisateurs des sentiers de motoneige 55 & 533 et de quad 418 .Choisir un milieu de vie est un investissement très important. Notre communauté a développé au cours des dernières années une vision et un positionnement stratégique qui en fait une valeur sûre... pour savoir, pour se divertir, visiter, s'établir et prospérer.","La Guadeloupe, Québec",Canada,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Emunlaguadeloupe%2Eqc%2Eca&urlhash=BP-L&trk=about_website,Government Administration,11-50 employees,"Législation municipale, Loisirs et culture, Urbanisme/Infrastructure/Travaux publics, Tourisme, and Programmes incitatifs (résidentiel et commercial)",Government Agency,119
"Consulting Radiologists, Ltd.","Consulting Radiologists, Ltd. (CRL) is a physician-owned practice serving patients and providers throughout the upper Midwest for more than 90 years. We provide on-site services at more than 27 hospitals and clinics, and also provide teleradiology services to more than 60 healthcare organizations throughout the Upper Midwest.

CRL is a leader in outpatient imaging with four imaging centers. We are trusted to deliver a complete range of radiology services to the healthcare community. All CRL locations are ACR accredited.

IMAGING CENTER LOCATIONS:

CRL Women's Imaging
CRL Imaging 
Southdale Medical Building
6525 France Avenue South | Suite 110 | Edina, MN 55435
(952) 915-4320

LifeScan Minnesota
Southdale Medical Center
6545 France Avenue South | Suite 115 | Edina, MN 55435
(952) 893-1997","Edina, MN",United States,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Econsultingradiologists%2Ecom&urlhash=jSn1&trk=about_website,Hospitals and Health Care,201-500 employees,"Breast Imaging, Chiropractic Radiology, Diagnostic Neuroradiology, Diagnostic Radiology, Interventional Neuroradiology, Interventional Radiology, Musculoskeletal Imaging, Nuclear Medicine, Pediatric Imaging, and Body Imaging",Privately Held,680
McSweeney / Langevin,"McSweeney / Langevin has one purpose - helping the injured.  We do this by making sure victims and victims' families are adequately compensated for wage loss, medical expenses and pain and suffering.

There is no need for victims to deal with the stress and anxiety alone.  We will be there every step of the way to ensure you are treated fairly, your rights are protected, and you are compensated.",null,null,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2EWeStrikeBack%2Ecom&urlhash=rKxq&trk=about_website,Law Practice,11-50 employees,"Dangerous / Defective Drugs, Dangerous / Defective Medical Devices, Workers' Compensation, Premises Liability, Auto Accidents, Wrongful Death, Brain Injuries / Concussions, Broken Bones, Medical Malpractice, Motorcycle Accidents, and Truck / Semi-Trailer Accidents",Partnership,null
FIAB,"FIAB is a medical device company that for over 40 years has been manufacturing products and solutions for cardiac pacing, electrophysiology, ecg, electrosurgery, oxygen-therapy, electro-therapy. FIAB is located in Vicchio, Firenze, Italy and distributed in over 100 countries.","Vicchio, Florence",Italia,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Efiab%2Eit&urlhash=BFat&trk=about_website,Medical Equipment Manufacturing,201-500 employees,null,Privately Held,965
InterPro/Pfam,"InterPro provides functional analysis of proteins by classifying them into families and predicting domains and important sites. To classify proteins in this way, InterPro uses predictive models, known as signatures, provided by several different databases that make up the InterPro consortium, this include Pfam. We combine protein signatures from these member databases into a single searchable resource, capitalising on their individual strengths to produce a powerful integrated database and diagnostic tool.

InterPro is is managed by EMBL’s European Bioinformatics Institute (EMBL-EBI)",Hinxton,United Kingdom,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Eebi%2Eac%2Euk%2Finterpro&urlhash=5joq&trk=about_website,Research Services,2-10 employees,"protein, Bioinformatics, and protein classification",Nonprofit,null
Logimodal Operações Logísticas," LOGIBRAS, atuando há mais de 12 anos no mercado logístico de São Francisco do Sul/SC, em 2020 alterou sua razão social para LOGIMODAL OPERAÇÕES LOGÍSTICAS LTDA.

A alteração da denominação social, nome e logomarca vem consolidar a atuação da empresa em serviços logísticos complexos e diferenciados, com rigorosos procedimentos de armazenagem e manuseio de cargas de alta qualidade em seu terminal multimodal.","São Francisco do Sul , SC",Brasil,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Elogimodal%2Ecom%2Ebr&urlhash=9qE0&trk=about_website,Warehousing,51-200 employees,"Armazenagem , Fracionamento, and Qualidade",Partnership,"1,763"
Golden Acre Foods | B Corp,"At Golden Acre, we specialise in importing and distributing great food from around the world.

Operating across 15 countries, we boast a wide range of delicious European and World Foods which we supply to Major Multiples, Wholesalers and Foodservice customers in the UK & Ireland.

Established in 1999, we have grown every year and today we work with over 100 manufacturers supplying both branded and private label products across chilled, ambient and frozen categories.

• Dairy (Yogurts, Protein Shakes) 
• Continental (Meats, Cheese & Fish)
• World Foods (Polish, Romanian, American)
• Home Baking (Chilled Pastry & Dough)
• Free-From, Halal & Kosher

We support our customers with a host of services within NPD, Technical, Sales, Marketing and Supply-Chain to help build a sustainable presence in the UK. Providing professional insight on market data, consumer trends and the latest legislation.

Our diverse multi-talented team is drawn from a varied blue-chip background; and together we provide comprehensive sourcing, marketing and distribution expertise to our private label and branded customers.

In addition to our development work; we have a growing portfolio of our own brands, which includes Golden Acre Yogurt, Najma, Elsinore, Acti-Shake, Urban-Active and Enjoy!","Chertsey, Surrey",United Kingdom,https://www.linkedin.com/redir/redirect?url=https%3A%2F%2Fgoldenacrefoods%2Ecom%2F&urlhash=88O6&trk=about_website,Food & Beverages,51-200 employees,null,Privately Held,"1,011"
A-AGROUP,null,null,null,null,null,null,null,null,null
St. Vincent de Paul School,"St. Vincent de Paul Catholic School provides a nurturing family environment that is traditional, yet progressive.  Students are valued as individuals and taught to utilize their unique abilities to master essential knowledge and skills; actively solve problems; and produce meaningful, relevant work.  St. Vincent de Paul champions each student’s success and teaches to honor the values of Catholic identity through moral integrity and service to others.","Mobile, AL",United States,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Esvsschool%2Eorg&urlhash=P0n1&trk=about_website,Primary and Secondary Education,1 employee,null,Educational,97
Hyde Fuel,Hyde Fuel delivers fuel and provides full-service heating in the Saranac Lake NY area.,"Tupper Lake, New York",United States,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fhydefuel%2Ecom&urlhash=vpBP&trk=about_website,Retail Groceries,2-10 employees,null,null,3
Sun Valley Masonry,"Sun Valley Construction is #1 of the largest, most respected masonry and concrete contractors in the Southwest. Our scope of work ranges from multi-million dollar sports complexes and government buildings to private residences - each of which we approach with the same level of professionalism and attention to detail.","Phoenix, AZ",United States,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Esunvalleyconstruction%2Ecom&urlhash=_HGO&trk=about_website,Construction,"501-1,000 employees","Masonry, Concrete, and Stone Systems",Privately Held,"2,556"
North Cottage Program,null,"Norton, Massachusetts",United States,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Enorthcottage%2Ecom&urlhash=y2KR&trk=about_website,Mental Health Care,11-50 employees,null,null,42
KINSLERFAMILYDENTISTRY,null,null,null,null,null,null,null,null,null
Synnovis,"Synnovis is a partnership between SYNLAB UK & Ireland, Guy’s and St Thomas’ NHS Foundation Trust, and King’s College Hospital NHS Foundation Trust, performing more than 32 million pathology tests a year across a network of routine and specialist laboratories.

Serving a population of 1.7 million in south east London, we bring together the very best in clinical, scientific and operational expertise to provide a pathology service which aims to create better outcomes for patients and make a positive difference to people’s health and wellbeing.

We work collaboratively with the NHS, SYNLAB, clinical users and other stakeholders – every sample we process represents an individual patient in our joint care, and we understand the important role we play in continually developing services to meet that important responsibility.","London, England",United Kingdom,null,Medical Practices,"1,001-5,000 employees",null,Partnership,"9,344"
Prinsotel Hotels & Apartments,"Family owned business, dedicated for over 30 years to providing unforgettable memories to families and couples by the mediterranean sea.

Located in Mallorca and Menorca, our hotels, apartments and villas are characterized by green and beautiful gardens full of bougainvillea, impeccable service and a wide range of gastronomic experiences.","Palma, Balearic Islands",España,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Eprinsotel%2Ees&urlhash=2ckE&trk=about_website,Hospitality,201-500 employees,"hospitality, customer service, tourism, leisure travel, travel, and holidays",Privately Held,835
Empresa Agroindustrial Pomalca SAA,null,null,null,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Epomalca%2Ecom%2Epe&urlhash=Tz04&trk=about_website,Food and Beverage Manufacturing,null,null,null,null
The Seattle Public Library,"We bring people, information and ideas together to enrich lives and and build community. Visit us at spl.org.",null,null,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Espl%2Eorg&urlhash=Cp7r&trk=about_website,,,,,"7,365"
Commonwealth Sign Company,"Based in Louisville Ky. Commonwealth Sign Company specializes in the manufacture, maintainance and repair of signs.  The company has been operational since 1979 and serves a host of industries, such as automotive, banking, health care, hotel, restaurant, and many more.  The in-house equipment of Commonwealth Sign Company offers a full range of manufacturing options, including vacuum formed, solar grade lexan, aluminum channel letter fabrication, full color digital printing for indoor and outdoor images, etc. Here at Commonwealth Sign Company we are dedicated to excellence and craftsmanship in all facets of our business.
We also service national accounts.  Contact us today for your sign needs.","Louisville, Ky",United States,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Ecommonwealthsign%2Ecom&urlhash=2Git&trk=about_website,Advertising Services,11-50 employees,"Graphic Design, Fabrication/Manufacture, Turnkey Installation, Service, Outdoor Signs & Channel Letters, Custom Signs, Monument Signs, Free Standing, Message Board Signs, Unique Signs, Cabinet Signs, Healthcare Signs, Restaurant Signs, Retail Signs, and Banking Signs",Privately Held,656
MORDFIN GROUP,"Built upon integrity and trust, The Mordfin Group is a highly regarded tax, accounting and advisory group, operating successfully for more than 90 years. Our unwavering commitment to personal service and responsiveness to our clients' needs has worked to strengthen relationships and build respect in the community. In this deep-rooted, carefully cultivated foundation, opportunities for growth abound. Together, we collaborate on a financial future of limitless possibilities

As clear-sighted, progressive thinkers and creative problem solvers, our firm succeeds in surpassing pace with the challenges and attendant needs confronting you in today's economy. We infuse these strengths with a genuine interest and enthusiasm in assisting you to achieve a sound financial future consistent with your vision.

Whether the challenge lies in growing your business, planning your retirement, or transitioning a business to the next generation, we will provide the knowledge and support you need to confidently and successfully achieve your goals. 

The professionals at The Mordfin Group insist on an in-depth knowledge of the businesses they serve. No professional, however competent, can do you justice until they understand your problems, challenges, and goals from the inside out. At The Mordfin Group your accountant becomes, in effect, a professional extension of your organization, using objectivity to spot a potential problem and proven expertise to solve it.","GREAT NECK, New York",United States,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Emordfin%2Ecom&urlhash=YkkM&trk=about_website,Accounting,11-50 employees,"Accounting, Tax, Real Estate, Luxury, Auditing, and Estate Planning",Partnership,387
Neafidi Società Cooperativa di garanzia collettiva fidi,"Offriamo alle imprese servizi di garanzia, finanza agevolata e credito diretto.
Promuoviamo la crescita, lo sviluppo e il miglioramento delle aziende socie, efficientando la gestione finanziaria.


Per maggiori dettagli visita il nostro sito o scrivi a commerciale@neafidi.it","Vicenza, VI",Italia,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Eneafidi%2Eit&urlhash=eje-&trk=about_website,Financial Services,11-50 employees,null,Public Company,"1,374"
Wannago Cloud,"Founded in late 2016, WannaGo Cloud Services has gained great momentum in the GCC region while setting exceptionally high standards for itself along the way. 

Data is the new oil. We're heading towards a future where data, analytics and smart insights will be the most priced assets of a business, helping them design better products & services, and give them an edge over the competition. This exponential growth in data must be matched with equal advancements in storage techniques, analytics, connectivity, accessibility and  security; all of which can be enabled by cloud computing.

Cloud technology can no longer be marketed as an 'add-on'. Having access to a reliable back-up,  a scalable IT infrastructure and protection against cyberattacks is a requisite for any business that wants to flourish in an increasingly digitized world.  This is where we, WannaGo Cloud, come in.

Spearheaded by our CEO and Founder, Deepak Verma, we recognized the need for businesses to switch from a CAPEX to OPEX environments, with pay-as-you-go options enabling a more flexible, scalable IT Infrastructure.

The future is cloud-centric, and we want you to be a part of it. Don't procrastinate; we all know what happened to conglomerates such as Blackberry and Yahoo that resisted advantageous change.","Dubai, Dubai",الإمارات العربية المتحدة,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Ewannagocloud%2Ecom%2F&urlhash=-68D&trk=about_website,IT Services and IT Consulting,11-50 employees,"cloud services, cloud computing, infrastructure-as-a-service, backup-as-a-service, disaster recovery-as-a-service, firewall-as-a-service, disaster recovery, data loss prevention, and cybersecurity",Privately Held,"1,435"
Project W,"At Davis Wright Tremaine, we are passionate about seeing women succeed. Project W is our commitment to helping women build great companies, advance their careers, and achieve parity in the workplace.",null,null,https://www.linkedin.com/redir/redirect?url=https%3A%2F%2Fwww%2Edwt%2Ecom%2Fabout%2Fproject-w&urlhash=Ef5Q&trk=about_website,Civic and Social Organizations,11-50 employees,null,Partnership,null
F J O'HARA & SONS,null,null,null,null,null,null,null,null,null
Hal Leonard,"Founded in 1947, Hal Leonard is the world's largest provider of music publications and music instruction materials. In its catalog of more than one million titles available in print and digitally, Hal Leonard represents many of the world's best-known and most respected publishers, artists, songwriters, and arrangers. Their global headquarters is in Milwaukee, WI, and their distribution and printing facilities are in Winona, MN. In addition, they have offices abroad in Australia, Belgium, China, Germany, the Netherlands, India, Italy, and Switzerland, as well as in London and Bury St. Edmunds in England.","Milwaukee, Wisconsin",United States,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Ehalleonard%2Ecom&urlhash=8mq1&trk=about_website,Musicians,"501-1,000 employees",Music publishing,Privately Held,"10,040"
MOLNAR&PARTNER,null,null,null,null,null,null,null,null,null
CORINTH COCA-COLA BOTTLING WORKS,null,null,null,null,null,null,null,null,null
"Joint stock company ""Elektroprivreda Srbije""","Joint stock company Elektroprivreda Srbije as the largest company in Serbia represents economic and energy backbone of the country. The main activities of EPS AD are the production, supply and trade of electricity. EPS is owner a the coal mines, thermopower plant and hydropower plant. EPS supplies electricity to 3,4 Million consumers. 
The founder of Joint stock company Elektroprivreda Srbije is the Republic of Serbia and the founder's rights are exercised by the Government of the Republic of Serbia. The bodies of the Joint Stock Company ""Elektroprivreda Srbije"" are the Assembly, the Supervisory Board and the Executive Board. The Assembly appoints members of the Supervisory Board, while the Supervisory Board appoints the general director and executive directors who make up the Executive Board.",null,null,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Eeps%2Ers&urlhash=5G_C&trk=about_website,,,null,,null
CMS Communications,"Since its founding in 1985, CMS Communications has been a leader in providing Telecom equipment and services. Our goal is to provide superior products and services at affordable prices. CMS maintains relationships with hundreds of equipment and service providers. This allows us to provide the best options for your business. Some of the solutions CMS offers include:

-  New and Refurbished Telecom equipment and IT Hardware
-  UCaaS Cloud based VoIP Phone Systems
-  Cloud Storage, Data Recovery & Hosting
-  Internet Service
-  Repair of Telecom equipment, IT Hardware and Mobile devices

We are your Agnostic, Transparent liaison who will help you disvoer the BEST solution(s) for your company. With over 30 years of experience, CMS Communications is the trusted source for all your Communication needs! ","Chesterfield, MO",United States,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Ecmsc%2Ecom&urlhash=Flmf&trk=about_website,Telecommunications,51-200 employees,"ShoreTel Equipment, Wired and Wireless Headsets, Video Conferencing, Networking Switches, Routers and Security Devices, Transceivers (OEM and Third Party), Bulk and Patch Cables, UCaas, Cloud, Saas, Telecommunications, Telecom, RingCentral, Mitel, Vonage, MSTeams, and 8x8",Privately Held,"1,871"
"GREAT LAKES TECHNOLOGIES, LLC","Power Tool Brands or Homeowners, Customer Service Technical Suppor Organization","Elgin, Illinois",United States,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fgreatlakestec%2Ecom&urlhash=nxLC&trk=about_website,Software Development,11-50 employees,null,null,4
Neurology Center Of Nevada,Specializes in the diagnosis and treatment of the Nervous System and Neurological Disorders,"Henderson, Nevada",United States,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fneurocnv%2Ecom&urlhash=YF2U&trk=about_website,Medical Practices,11-50 employees,null,null,23
Ware Pet Products (formerly Ware Manufacturing Inc.),"Ware Pet Products (formerly Ware Manufacturing, Inc.) has been providing quality products to the pet supplies industry since 1983. Our product offering includes hutches and cages, cat furniture and accessories, small animal treats and accessories, interactive toys for dogs, cats and other small animals, chicken barns and pens and much more.

Still privately owned, Ware is led by an innovative team of professionals that are among the most knowledgeable in the industry. We are passionate about our mission to continuously offer new and exciting products that enhance the lives of pets and their owners alike.  After all, we love our pets, too - and have quite an assortment among our team members, ranging from reptiles, to dogs, cats, rabbits, chickens and more. We even have three office cats and two dogs! 

Ware Cares™ - We are concerned about the carbon pawprint we leave as a company and are committed to using recycled and recyclable material in the manufacturing of our packaging and pet products whenever and wherever possible.","Phoenix, Arizona",United States,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Ewarepet%2Ecom&urlhash=J-vH&trk=about_website,Manufacturing,51-200 employees,"pet, manufacturing, cat products, dog products, industry leadership, small animal containment, chicken coops, and bird products",Privately Held,718
Yanfeng,"Yanfeng is a leading global automotive supplier, focusing on interior, exterior, seating, cockpit electronics, and passive safety, and is exploring new business actively. Yanfeng has more than 240 locations and approximately 57,000 employees worldwide. The technical team of 4,200 experts is in 10 R&D centers and other regional offices, with complete capabilities including engineering and software development, styling, and test validation. Focusing on smart cabin and lightweight technology, Yanfeng supports automakers to explore future mobility and provide leading cabin solutions. For more information, please visit www.yanfeng.com.",null,null,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Eyanfeng%2Ecom&urlhash=0Rt_&trk=about_website,,,,,null
The Epstein Law Firm,"As aggressive litigators and strong negotiators, the attorneys at The Epstein Law Firm know the law and the courts. Because of our knowledge and experience, we can develop creative solutions to challenging legal situations in a wide range of personal injury cases and civil litigation.","Rochelle Park, New Jersey",United States,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Etheepsteinlawfirm%2Ecom&urlhash=2x1R&trk=about_website,Law Practice,2-10 employees,"Personal Injury, Employment Law, Professional Malpractice, Business Litigation & Civil Litigation, Medical Malpractice, Sexual Harassment, Worker's Compensation, Legal Malpractice, Car Accidents, Trip and Fall Accidents, Construction Accidents, and Products Liability",Privately Held,109
Haesung Industry Co Ltd,null,null,null,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Ehaesungind%2Eco%2Ekr%2F&urlhash=x0t1&trk=about_website,null,null,null,null,null
UNIQUE relations,"Jahrelange Erfahrung und Know-how, ein sicheres Gespür für den Kern der Geschichte, ein kreatives und erstklassiges Team als Ihre Berater und Partner – das ist UNIQUE relations.
 
„Wer sich im Dreieck Wirtschaft – Medien – Politik bewegt, sollte wissen wovon er spricht“, so Gründer und Geschäftsführer Josef Kalina.

Das eigentümergeführte Unternehmen wurde im Jahre 2008 gegründet und ist seit 2011 Partner des internationalen Beratungsunternehmens Hill + Knowlton Strategies in Österreich.","Wien, Wien",Österreich,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Eunique-relations%2Eat&urlhash=tnYR&trk=about_website,Public Relations and Communications Services,11-50 employees,"Strategische Beratung, Corporate Communications, Krisenkommunikation, Public Affairs & Lobbying, Marken- & Produkt-PR, Social Media, Publishing, Events, Medientraining, Agenda Setting, and Storytelling",Public Company,"1,236"
assurius,"WELKOM BIJ ASSURIUS

Assurius (vroeger gekend onder de naam ISCS) is al meer dan 25 jaar gespecialiseerd in de afhandeling van schadedossiers voor rekening van verzekeringsmakelaars, verzekeringsmaatschappijen, fleet managers, CFO’s, risk & legal managers en advocaten.
Ons deskundig team heeft een ijzersterke kennis van de verzekeringssector waardoor wij uw dossiers sneller en efficiënter kunnen behandelen en grotere volumes aankunnen. Wij werken 100% in naam van uw organisatie, zodat we uw klanten een persoonlijke service kunnen garanderen.
Naast de administratieve afhandeling van dossiers, kunt u ook een beroep doen op onze expertise voor advies bij complexe of internationale schadeclaims.

✔ Elke vraag of elk dossier dat binnenkomt bij Assurius, wordt binnen de 24 uur behandeld. Dat, is onze Assurius service!

Graag tot binnenkort.

Tom Coussée, Zaakvoerder","Steenokkerzeel, Vlaanderen",België / Belgique / Belgien,https://www.linkedin.com/redir/redirect?url=https%3A%2F%2Fwww%2Eassurius%2Ebe&urlhash=CvRL&trk=about_website,Facilities Services,11-50 employees,"schade, verzekeringen, and bemiddeling",Public Company,221
SG World Ltd,"👷🏽Your Safety is Our Priority At SGWorld! Trust the Experts
☎️Find us 01270588211
Do it better!

SG World supplies simple solutions for the management of people, processes and property, including: 

• Visitor Management, including visitor passes and visitor badge software 
• Pupil Management and Safeguarding Solutions
• Cheque Printing & Financial Systems 
• Contractor Management 
• Equipment Inspection, including fleet vehicles
• Staff Identification

SG World has been developing innovative products for over 40 years. You will find SG World solutions in schools across the country and in the majority of the UK's top 1,000 companies.","Crewe, Cheshire",United Kingdom,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Esgworld%2Ecom&urlhash=qoM2&trk=about_website,Public Safety,51-200 employees,"Identification, mewp safety inspection system, Safety Inspection Systems, Colour Printing, Cloud Based Visitor Management, and School Absence Reporting Forms",Privately Held,"1,161"
"Cardiovascular Consultants, Ltd.",null,"Phoenix, Arizona",United States,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fcvcaz%2Ecom&urlhash=lWC8&trk=about_website,Executive Offices,201-500 employees,null,null,12
"PAUL-ALEXANDRE DOÏCESCO, NOTAIRES ASSOCIÉS",null,null,null,null,null,null,null,null,null
DiTRONICS Financial Services,"DiTRONICS is a full service funds access provider for the gaming industry.  The company is dedicated to the delivery of  industry-leading new and innovative technologies for casino operators in North America.  With over 20 years experience and the highest customer retention rate in the industry, DiTRONICS is committed to helping our partners get the most out of their ATM, Cash Advance, Check Guarantee services as well as their ATM and Kiosk hardware platforms.

Products and services include: 

• ATM’s, All‘N’1 ATM software
• Credit and POS Debit Card Cash Advance
• Personal and Payroll Check Cashing with Guarantee
• Multi-function Ticket Redemption Kiosks
• Proprietary Wagering Account for use by operators with a ""Bricks and Clicks"" strategy
• Marketing solutions",null,null,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2FDiTRONICS%2Ecom&urlhash=syvD&trk=about_website,,,,,"1,614"
Siamese Asset Public Company Limited,"At Siamese Asset, our goal is to be the most trusted property development company that delivers ""Assets of Life"" to our customers with cheaper price tag than other property development companies having the same standard; provides sustainable value growth to our shareholders; creates challenging and rewarding work for our people in an environment that respects and values their contributions.","Bangkok, Bangkok",ประเทศไทย,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fcorp%2Esiameseasset%2Eco%2Eth&urlhash=Qg-6&trk=about_website,Real Estate,"501-1,000 employees",null,Public Company,"2,082"
CORTEL® Technologies,"Cortel is a cloud technology vendor that partners with businesses to deploy hosted and premise-based phone systems and UCaaS solutions that connect customers to businesses. With Cortel, our clients have the tools they need to connect with people in a digital world. Stop frustrating your customers with an outdated phone system and start connecting with customers quickly.","Somerset, New Jersey",United States,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fwww%2Ecortel%2Ecom&urlhash=PFlC&trk=about_website,Telecommunications,11-50 employees,"Unified Communications, VoIP, Hosted Cloud Solutions, Business Telephone Systems, Mobility, Video Surveillance, Multi-site Organizations, Non-Profit Organizations, UCaaS, Data Cabling, and Infrastructure",Privately Held,289
WACOAL,null,Paris,France,null,Retail Apparel and Fashion,null,null,null,null
G Y P NEW TREE SA,null,Ciudad Autonoma De Buenos Aires,Argentina,https://www.linkedin.com/redir/redirect?url=http%3A%2F%2Fnewtree%2Ecom%2Ear&urlhash=xyr2&trk=about_website,null,null,null,null,null
THONBURI ENERGY STORAGE SYSTEMS (TESM),null,null,null,null,null,null,null,null,null
