CompanyName,Website,Industry,Country,Company Description,DateVictimised,NumViews (of threat),RansomDataSize,RansomDataType,RansomwareGroup
Mauritzon,www.mauritzon.net,Manufacturing, United States,"Spanning Three Centuries, and five generations of family ownership, Mauritzon, Inc. has proudly served hundreds of industries since 1888. The tradition remains strong because the ideals have remained the same... our customer is the most valuable asset we have",14/5/24,24475,12,"['PII', 'Customer and Client Data', 'Financial Data']",Play
High Performance Services,www.hpsllc.us,Telecommunications, United States,We pride ourselves on being able to offer our clients the full range of telecommunication services. We are your project management team who focuseson the wireless telecommunication industry.,14/5/24,24480,192,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Central Florida Equipment,www.centralcivil.com,Construction, United States,"Founded by James Baer in 1977, the family-owned and operated construction company has been involved in laying the foundation for some of South Florida's most notable projects.",14/5/24,24427,155,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Stainless Foundry & Engineering,www.stainlessfoundry.com,Metals & Mining, United States,"Established in 1946 by John McBroom, & headquartered in Milwaukee, Wisconsin, Stainless Foundry & Engineering Inc. (SFE) is a well-established andhighly regarded manufacturer of raw and machined castings in both sand and investment.",5/5/24,24923,366,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Profile Products,www.profileproducts.com,Utilities, United States,"Based in Buffalo Grove, IL, PROFILE Products, LLC offers environmentally sound, site-specific solutions for soil modification, horticultural production, erosion control and plant establishment.",3/5/24,25345,95,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Advanced Business Networks,www.netabn.com,Business Services, United States,Advanced Business Networks is an IT consulting company specializing in providing IT support to small and mid-sized organizations across the Chicagoarea.,3/5/24,25361,304,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Canatal Industries,www.canatal.net,Construction, United States,"Canatal fabricates and fully installs structural steel projects customized to your specifications and schedule; our goal is to exceed your expectations. In a market where fast-track construction projects are increasingly common, where efficiency is paramount and where delays mean a loss of profits, Canatal prides itself in being able to alter the workflow in ingenious and resourceful ways to meet deadlines.",2/5/24,25118,79,"['PII', 'Customer and Client Data', 'Financial Data']",Play
New Hudson Facades,www.newhudsonfacades.com,Construction, United States,"ncorporated in 2014, New Hudson Facades (NHF) is a custom architectural faade company specializing in the design, engineering, manufacturing, andinstallation of facades on world class buildings. NHF partners with leading architects and general contractors to provide innovative and challenging cladding solutions for some of the most architecturally significant projects being built today.",1/5/24,25994,586,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Toolmarts,www.toolmarts.com,Retail, United States,"Toolmarts has been a factory direct distributor of power tools, woodworking equipment and shop machinery since 1986. Toolmarts is headquartered inEscondido, CA",1/5/24,25971,,"['PII', 'Customer and Client Data', 'Employee and HR data', 'Financial Data']",Play
Legislative Bill Drafting Commission,www.lbdc.state.ny.us,Construction, United States,Legislative Bill Drafting Commission is a company that operates in the Government industry.,1/5/24,25899,74,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Yale Mortgage,www.yalemortgage.com,Finance, United States,"ale Mortgage offers mortgage loans to others. It provides information, protection from unauthorized access, verifies identity, andaccount services.",2/5/24,25909,87,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Precision Fluid Controls,www.precisionfluidcontrols.com,Transportation, United States,"Precision Fluid Controls, Inc. designs, manufactures and tests components for launch vehicles and ground support applications-providing many typesof valves including throttling valves, ball valves, check and relief valves, vent and relief valves, pressure reducing, both manual and dome loaded, regulators, sleeve valves, butterfly valves, solenoid valves plus many others.",2/5/24,25924,51,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Original Herkimer Cheese,www.originalherkimercheese.com,Manufacturing, United States,"We like to say that Original Herkimer CheeseÂ® is Where Excellence Is a Tradition, and to us that's personal. We are a 3rd generation family ownedand operated business.",2/5/24,25819,27,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Axip Energy Services,www.axip.com,Utilities, United States,"Axip Energy Services is a provider of contract compression and production equipment, wellpad solutions, and treating facilities to the oil and gasindustry.",2/5/24,25822,129,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Engineered Automation of Maine,www.eaminc.com,Manufacturing, United States,"Engineered Automation of Maine, Inc. designs, manufactures, and services both standard and custom equipment for your unique needs and process.",24/4/24,27474,157,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Pennsylvania Convention Center,www.paconvention.com,Hospitality, United States,"Established in 1950. The Philadelphia Convention & Visitors Bureau (PCVB), a private membership corporation, is the official Tourism Promotion Agency for the City of Philadelphia, and the primary sales and marketing agency for the Pennsylvania Convention Center.",26/4/24,27291,211,"['PII', 'Customer and Client Data', 'Financial Data']",Play
SIS Automatisering,www.sisautomatisering.nl,Business Services, Netherlands,"The technically oriented SIS team complements our own specialists and is fully prepared to support COIN at any time. The fact that COIN has been able to count on Martin and his team for years, and that they provide optimal input when designing technical solutions for our customers, is very valuable to COIN.",24/4/24,27246,216,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Alltruck Bodies,www.alltruckbodies.com.au,Manufacturing, Australia,"Alltruck Bodies manufacture a range of rigid bodies, such as Curtainsiders, Colorbond vans, FRP vans, Trays, Insulated bodies, Freezer bodies and Light Weight bodies.",24/4/24,27232,365,"['PII', 'Customer and Client Data', 'Financial Data']",Play
JE Owens,www.jeowens.com,Accounting, United States,JE Owens & Co is a company that operates in the Accounting industry.,23/4/24,26996,137,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Heritage Cooperative,www.heritagecooperative.com,Membership Organizations, United States,"Founded in 2009, Heritage cooperative provides agricultural products and services to increases the quality of life in the rural communities. They are based in Delaware, Ohio.",16/4/24,28507,297,"['PII', 'Customer and Client Data', 'Financial Data']",Play
The MBTW Group,www.mbtw.com,Construction, Canada,"The MBTW Group is an award winning, multi-disciplinary landscape architecture, urban design and community planning firm located in Midtown Toronto. Our design studio, in business since 1975, has provided design consulting services to an international roster of clients in both private and public sectors",16/4/24,28651,251,"['PII', 'Customer and Client Data', 'Financial Data']",Play
LS Networks,www.lsnetworks.net,Telecommunications, United States,"ounded in 2005, LS Networks serves business, government, healthcare, education and other enterprises with bandwidth and network connectivity. LS Networks is located in Portland, Oregon.",16/4/24,28655,408,"['PII', 'Customer and Client Data', 'Financial Data']",Play
New England Wooden Ware,www.newwpkg.com,Manufacturing, United States,"Founded in 1834 as the E. Murdock Company in Winchendon, Massachusetts we were at one time the largest manufacturer of wooden products and containers in New England. We pride ourselves in over 180 years of craftsmanship and evolving technology.",16/4/24,28551,95,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Access Intelligence,www.accessintel.com,Business Services, United States,"Founded in 1977, Access Intelligence provides clients with business insights and integrated marketing solutions. Access Intelligence is headquartered in Rockville, Maryland.",16/4/24,28570,34,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Theatrixx Technologies,www.theatrixx.com,Manufacturing, Canada,"Theatrixx Technologies distributes and manufactures technical equipment to suit the needs of the performing arts industry.Theatrixx Technologies' product lines are carefully selected based on our rigorous criteria with regards to safety, reliability, sturdiness, quality of construction and manufacturers' solid reputation.",16/4/24,28442,65,"['PII', 'Customer and Client Data', 'Financial Data']",Play
MoldTech,www.moldtechrubber.com,Manufacturing, United States,"Moldtech, Inc. is a leading North American developer and manufacturer of innovative custom rubber molded products.",16/4/24,28357,19,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Feldstein & Stewart,www.feldsteinandstewart.com,Business Services, United States,Feldstein & Stewart LLP provides accounting and tax services to clients in the New York & New Jersey Metropolitan Area.,13/4/24,28394,271,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Everbrite,www.everbrite.com,Manufacturing, United States,"Founded in 1927, Everbrite provides visual identification and LED lighting solutions to companies throughout the world. Headquartered in Greenfield, Wisconsin.",10/4/24,29610,63,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Guy's Floor Service,www.guysfloor.com,Construction, United States,"Guys Floor Service, Inc. was launched by our founder, Guy Routzon, in 1942 from a modest home in downtown Denver. In those early days, Guy got hisstart refinishing hardwood floors in the barracks of the Lowry Air Force Base. Now with two design center locations, three divisions and a high volume fabrication facility, we are proud of our substantial growth and our reputation for excellence within the residential and commercial interior finishing industry.",10/4/24,29627,232,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Sit,www.sitnsleep.com,Retail, United States,"Founded in 1978 and headquartered in Gardena, California, Sit 'n Sleep is a mattress company. The company has several locations where they sell their mattresses as well as other bedding accessories.",10/4/24,29594,192,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Lambda Energy Resources,www.lambdaenergyllc.com,Enviromental Services, United States,"Lambda is the largest producer in Michigan by revenue and oil production volume. Our daily net production exceeds 6000 BOEPD. Lambda operates over850 active oil and gas wells in the Niagaran, Antrim, Richfield, and Prairie du Chien formations.",2/4/24,31383,550,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Lawrence Semiconductor Research Laboratory,www.lsrl.com,Semiconductors, United States,"Lawrence Semiconductor Research Laboratory, Inc. (LSRL) is a privately held corporation, founded in 1992. LSRL supplies custom epitaxial growth asa service for commercial organizations as well as for government and academic use.",4/4/24,31343,496,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Quality Enclosures,www.qualityenclosures.com,Wholesale Building Materials, United States,"Quality Enclosures, Inc. provides the highest quality shower enclosures and tempered glass with unmatched customer service. Consisting of multipletempering and manufacturing facilities, Quality Enclosures is a company devoted to growth across its market, its employees and the communities it services.",2/4/24,31278,23,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Hartz,www.hartz.com,Manufacturing, United States,Hartz is a manufacturer of pet care products with a 91 year history.,2/4/24,31214,655,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Alber Law Group,www.alberlaw.com,Legal Services, United States,Alber Law Group is a Long Island based boutique law firm that provides legal services.,2/4/24,31283,195,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Festspielhaus Baden-Baden,www.festspielhaus.de,Entertainment, Germany,The Festspielhaus Baden-Baden is Germany's largest opera house. Its acoustics are considered one of the best in the world.,2/4/24,31285,580,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Weld Plus,www.weldplus.com,Industrial Automation, United States,Weld Plus has been serving the Cincinnati and Northern Kentucky and all through the Ohio Valley as well as International customers for over 20 years.,2/4/24,31261,,"['PII', 'Customer and Client Data', 'Employee and HR data', 'Financial Data']",Play
JM Thompson,www.jmthompson.com,Construction, United States,JM Thompson Co is a company that operates in the Construction industry.,2/4/24,31253,200,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Tbr Kowalczyk,-,Accounting, Poland,"Accounting, bookkeeping and auditing activities; tax consultancy",2/4/24,31160,48,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Pavilion Construction,www.pavilionconstruction.com,Construction, United States,"At Pavilion Construction, we understand our growth has been fueled by repeat business with satisfied clients. We have emerged as an industry leaderthrough our focus on the client, establishing reputable contracting services at unparalleled standards.",30/3/24,30943,900,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Boingo Graphics,www.boingographics.com,Printing Services, United States,"Boingo Graphics is committed to providing customers with a unique range of complete, scalable, and practical solutions that make sense. Whether youare shopping for graphic design, web sites, integrated direct mail campaigns, variable data printing, commercial printing, trade show graphics, wide format printing or fulfillment - Boingo Graphics has the solution for you.",30/3/24,30871,155,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Premier Technology,www.premiertechnology.net,IT Services and IT Consulting, United States,"Premier Technology: Home, Computer Networking, Computer Repair, Computer Sales, New Used, Consulting, Iowa; Cedar Rapids, Waterloo, Dubuque, Prairie du Chien, Davenport, Jesup, Monona, Fayette, Oelwein, Cascade.",15/3/24,34236,66,"['PII', 'Customer and Client Data', 'Financial Data']",Play
SREE Hotels,www.sree.com,Hospitality, United States,"SREE Hotels founded in 1980 and headquartered in Charlotte, North Carolina, is a hospitality management company providing fully integrated hotel development and management services throughout the Southeast and Midwest.",14/3/24,34183,64,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Bridger Insurance,www.bridgerins.com,Insurance, United States,"Bridger staff is intently focused to launch a new non-standard California auto insurance product by the end of 2017. Deep into the final quarter, the team is knee-deep implementing new operational procedures and systems to greatly improve agents' and policy holders' engagement with the new company.",15/3/24,34142,67,"['PII', 'Databases', 'Customer and Client Data', 'Financial Data']",Play
BiTec,www.bitecsmi.com,Manufacturing, United States,"BITEC is a custom precision machine shop. We use state-of-the-art computer numerically controlled (CNC) machine tools for major applications. We provide specialized products for the aerospace, entertainment, mechanical and medical industries. BITEC was established in 1985. Since then, we have earned a reputation for proficiency and quality.",15/3/24,34119,,"['PII', 'Customer and Client Data', 'Employee and HR data', 'Financial Data']",Play
QI Group,www.qigroup.ca,Mining, Canada,QI Group Ltd is a company that operates in the Retail industry.,15/3/24,34112,120,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Fashion UK,www.fashions-uk.com,Retail, United Kingdom,Fashion UK is a company that operates in the Apparel & Fashion industry.,15/3/24,34073,41,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Grassmid Transport,www.grassmidtransportinc.com,Transportation, United States,"Grassmid Transport Inc. based in Zeeland, MI was founded in 1967. Now operating more than 80 tractors and 200 trailers with 2/3 of our fleet beingrefrigerated and 1/3 being dry vans and step deck trailers. We have accounts with customers running for more than 20 years and keep good relations with all our clients. We haul products like meats, fruits, vegetables, water heaters, and office furniture priding ourselves in on-time and accurate deliveries.",15/3/24,34084,28,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Image Pointe,www.imagepointe.com,Printing Services, United States,Image Pointe is a leading supplier of apparel and promotional items.,15/3/24,34003,95,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Ruda Auto,www.rudaauto.com,Automotive, United States,"Ruda Auto is located in Monroe, Wisconsin, 53566. We offer great deals on new and used vehicles, service and parts.",15/3/24,34106,,"['PII', 'Customer and Client Data', 'Employee and HR data', 'Financial Data']",Play
Canada Revenue Agency,www.zsb.ca,Accounting, Canada,Canada Revenue Agency is a company that operates in the Accounting industry.,15/3/24,34038,43,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Bechtold,www.bechtoldfenster.de,Construction, Germany,Bechtold GmbH & Co is a company that operates in the Retail industry.,15/3/24,34091,53,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Schokinag,www.schokinag.com,Food Production, Germany,"SCHOKINAG manufactures the full range of chocolates and chocolate couvertures, from liquid to solid, in various sizes, shapes and packaging types,as well as liquid compounds.",15/3/24,33876,196,"['PII', 'Customer and Client Data', 'Financial Data']",Play
QEO Group,www.qeo.com,Insurance, United States,"QEO provides commercial transportation insurance products within three broad categories: energy, local delivery, and the construction industry.",13/3/24,33615,82,"['PII', 'Customer and Client Data', 'Financial Data']",Play
MainVest,www.mainvest.com,Finance, United States,MainVest is a community investment platform and Regulation Crowdfunding portal that empowers communities and small business entrepreneurs by allowing everyday Americans to invest in the local businesses they care most about and share in their wealth and success,10/3/24,34566,162,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Continental Aerospace Technologies,www.continental.aero,Wholesale Import and Export, United States,"Continental Aerospace Technologiesâ¢ is a global leader in General Aviation. They are the only company to offer a full range of gasoline and Jet-A engines, as well as avionics services. Continental Aerospace Technologies was founded in 1905 and is based in Alabama, the United States.",9/3/24,34683,475,"['PII', 'Customer and Client Data', 'Financial Data']",Play
FBi Construction,www.fbiconstruction.com,Construction, United States,FBi Construction is made up of dedicated people who believe in giving back to our community. We understand the value of giving our time and resources to help those who need our help the most.,7/3/24,35619,112,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Kool-air,www.kool-air-inc.com,Consumer Services, Canada,"Our talented engineering staff can custom design a system to suit your needs. New products are continually being developed and added to Kool-Air'scatalogue of products. Our state-of-the-art manufacturing plant is located in the city of Delson just outside Montreal, Quebec, Canada.",7/3/24,35693,109,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Influence Communication,www.influencecommunication.com,Communication Services, Canada,"Established in 2001, Influence is Canada's premier news information broker. From its head office in Montreal, Influence conducts media monitoring for the majority of Canada's largest corporations. With its Interactive Communication Environment (ICE) system and network of partners across Canada and in 160 countries, Influence offers comprehensive monitoring, aggregation and analysis of print and broadcast",7/3/24,35637,249,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Coastal Car,www.coastalcar.com,Transportation, United States,"Coastal Car Worldwide utilizes the FAA flight tracker system. This state of the art system tracks private, business, and commercial aircraft so that we can monitor the arrival of your flight, assuring you that no matter when your flight arrives, your vehicle will be waiting for you.",7/3/24,35491,30,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Marketon,www.marketon.com,Business Services, United States,"MARKETON INC., headquartered in El Monte, California, was founded by Constantino Miguel, who moved from his birthplace, Asturias, Spain, to Havana,Cuba in 1958, to work as a salesman with his uncle. Shortly after the Castro revolution, he moved back to Spain, before heading to America in 1968.",7/3/24,35562,44,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Compact Mould,www.compactmould.com,Plastics Manufacturing, Canada,"Compact Mould Ltd. is a Canadian-based manufacturer of high quality Extrusion Blow Molds, Stretch Blow Molds, and Injection Stretch Blow molds. Wecan offer a full range of services, including preform and bottle design, mold design, prototype tooling, high volume production tooling, as well as mold repairs, maintenance and modifications.",7/3/24,35584,375,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Northeastern Sheet Metal,www.nesmco.com,Construction, United States,"NorthEastern Sheet Metal Co., Inc. began in 1995. Our focus is commercial duct system fabrication and installation. We have the capabilities to provide duct systems in a variety of different metal types, such as galvanized steel, stainless steel, aluminum, black iron, and copper.",7/3/24,35687,29,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Red River Title,www.redrivertitle.com,Real Estate, United States,"The Red River Title team is dedicated to going above and beyond for all their clients. Ive bought or sold over 100 properties in the last 15 years, and Red River Title continues to deliver a great experience every time.",7/3/24,35408,41,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Hedlunds,www.hedlundspapper.se,Gifts, Sweden,Hedlunds is a company that operates in the Building Materials industry.,7/3/24,35368,16,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Winona Pattern & Mold,www.winonapattern.com,Strategic Management Services, United States,"At Winona Pattern & Mold we pride ourselves on the strength of our engineering & design department. Each member of our team has over twenty years of CAD design experience and as a company we have been committed to solid modeling software since the early 1990's. Our engineering team excels as a full service, one stop solution for the most complex engineering projects our customers have to offer.",7/3/24,35478,305,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Trans+Plus Systems,www.transplus.io,Software, Canada,Trans Plus Systems Corp. is comprised of software and transportation industry professionals who collectively have over 30 years of experience in the field of transportation software solutions. We have achieved continued growth by meeting and exceeding specialized individual customer needs with quality software products and support.,7/3/24,35161,52,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Powill Manufacturing & Engineering,www.powill.com,Aviation and Aerospace Component Manufacturing, United States,Powill Manufacturing and Engineering Inc. specialize in the manufacture and supply of quality machined parts and sub-assemblies for the aerospace and commercial industries. Powill recognizes and embraces the need for an operational export compliance program.,7/3/24,35228,,"['PII', 'Customer and Client Data', 'Employee and HR data', 'Financial Data']",Play
A&A Wireless,www.aawireless.us,Telecommunications, United States,A&A Wireless providing exceptional telecommunications services,7/3/24,35157,293,"['PII', 'Customer and Client Data', 'Financial Data']",Play
American Nuts,www.americannuts.com,Food and Beverage Manufacturing, United States,"American Nuts is located in heart of the Los Angeles Valley on 12950 San Fernando Road, Sylmar, California 91342. Established in 1988, we are a roaster and manufacturer of domestic and imported nuts and dried fruits.",7/3/24,35223,322,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Skyland Grain,www.skylandgrain.com,Mechanical Or Industrial Engineering, United States,"Skyland Grain LLC, headquartered in Johnson, Kansas is a joint venture that began in 2004 with Johnson Cooperative Grain Co. and ADM Grain Co. Syracuse Cooperative Exchange joined the venture in 2010 Cairo Cooperative Equity Exchange in 2015.",7/3/24,35176,62,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Gilmore & Associates,www.gilmore-assoc.com,Civil Engineering, United States,"Gilmore & Associates, Inc. was founded in 1918 and is based in New Britain, Pennsylvania. The company has emerged as one of the regions most dynamic civil engineering firms, offering a diverse and complementary portfolio of professional consulting services.",3/3/24,35289,340,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Welch's,www.welchs.com,Manufacturing," Massachusetts, United States","Welch's produces and markets grape products. The Company offers refrigerated juices, juice cocktails, jams and jellies, and snacks. Welch Foods serves the foodservice customers such as schools, business and industry, lodging, colleges and universities, healthcare, and restaurants.",26/2/24,36886,428,"['PII', 'Customer and Client Data', 'Financial Data']",Play
MeerServices,www.meerservices.nl,IT Services and IT Consulting, Netherlands,"Meerservices is a shop that provides complete automation projects. Furthermore, also focused on Telecommunications within a company.",21/2/24,38411,124,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Onclusive,www.onclusive.com,Public Relations and Communications Services, United States,"Onclusive is the data science company for communications. The inventors of PR Attributionâ¢ and Power of Voiceâ¢, Onclusive measures the true impactthat content is having on a company's bottom line. The Onclusive platform is built upon a proprietary newscrawler which analyzes millions of earned, owned, and newswire articles every day globally and in over 100 languages, organizing each piece of content based on dozens of dimensions for aggregate and entity-level analysis.",24/2/24,38342,650,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Mechanical Reps,www.mechreps.com,Wholesale, United States,"Mechanical Reps, Inc. is the premier manufacturers' representative for HVAC products in Central and South Texas. Founded in 1974, our team providesexceptional products and an unprecedented level of service. Mechanical Reps Inc. serves engineers, contractors, and facility managers who demand responsiveness and expertise.",21/2/24,38317,87,"['PII', 'Customer and Client Data', 'Financial Data']",Play
HR Ewell & Hy-tec,www.hrewell.com | www.hytectank.com,Transportation, United States,"H.R. Ewell, Inc. was founded in 1946 in Lancaster County Pennsylvania as a local bulk milk transporter and expanded into liquid sweetener transportas opportunities arose.",21/2/24,38227,41,"['PII', 'Customer and Client Data', 'Financial Data']",Play
"Norman, Fox",www.norfoxchem.com,Chemical Manufacturing, United States,"Norman, Fox & Co. manufactures and distributes specialty chemicals to the HI&I / Compounding, Agriculture, Water Treatment, Adhesive, Paint & Coatings, Food, Pharmaceutical, Cosmetic & Personal Care, and Oil and Gas industries.",21/2/24,38193,14,"['PII', 'Customer and Client Data', 'Financial Data']",Play
von Hagen,www.vonhagen.net,Design Services, Germany,"With our additional facilities in Kielce/Poland and Las Vegas/USA and a highly efficient global partner network, we make sure that you and your projects attract interest everywhere you go in this world.",21/2/24,38235,260,"['PII', 'Customer and Client Data', 'Financial Data']",Play
LD Davis,www.lddavis.com,Chemical Manufacturing, United States,"Headquartered in Pennsylvania and Founded in 1926 , L.D. Davis is an adhesives manufacturer Creating Glue and Gelatin for Bookbinding, Packaging and laminating ect.",21/2/24,38187,21,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Leaders Staffing,www.leadersstaffing.com,Staffing and Recruiting, United States,"Leaders Staffing, LLC offers resourceful connections between employers and job seekers. It specializes in staffing services, talent acquisition, recruiting, and human resources. The company was formed in 2005 and is based in Fort Wayne, Indiana.",11/2/24,40368,40,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Douglas County Libraries,www.dcl.org,Libraries, United States,"Founded in 1966 and Headquartered in Castle Rock, Colorado. Douglas County Libraries is a library that offer various styles and genres of books, audio books, CD's and more.",11/2/24,40379,618,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Premier Facility Management,www.pfmgreen.com,Environmental Services, United States,"PFM can customize and design innovative solutions to meet todays market demand and keep-it-green. PFM has sustainable by-product marketing, surplusmaterial exchanges and global outlets for recyclables.",11/2/24,40460,20,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Virgin Islands Lottery,www.winusvilottery.com,Gambling Facilities and Casinos, United States,Virgin Islands Lottery,11/2/24,40336,65,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Perry-McCall Construction,www.perry-mccall.com,Construction, United States,"Perry-McCall Construction is a full-service commercial construction company based in Jacksonville, Florida that provides services in General Contracting, Design-Build, and Construction Management.",11/2/24,40156,211,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Albert Bartlett,www.albertbartlett.com,Food and Beverage Manufacturing, United States,"Albert Bartlett, headquartered in Airdrie, North Lanarkshire, and established in 1948, is a root vegetable company specializing in growing and packaging potatoes.",11/2/24,40145,270,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Mason Construction,www.masonconstruction.net,Construction, United States,"Mason Construction, founded in 1939 and located in Beaumont, Texas, is a full-service industrial construction company.",11/2/24,40179,92,"['PII', 'Customer and Client Data', 'Financial Data']",Play
McMillan Pazdan Smith,www.mcmillanpazdansmith.com,Architecture and Planning, United States,"McMillan Pazdan Smith, founded in 1955 and headquartered in Greenville, South Carolina, is an architecture, planning, and interior design firm.",11/2/24,40151,171,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Hannon Transport,www.hannontransport.com,Transportation, United States,"Hannon are specialists in dealing with the logistical challenges of cut flower transportation, managing ever changing orders and volumes on a dailybasis.",11/2/24,40173,59,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Northeastern Sheet Metal,www.nesmco.com,Construction, United States,"NorthEastern Sheet Metal Co., Inc. began in 1995. Our focus is commercial duct system fabrication and installation.",11/2/24,40101,22,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Ready Mixed Concrete,www.aareadymix.com,Construction, United States,"Since 1949, At A & A Ready Mixed Concrete Inc, we are concrete experts with the passion, the expertise and the guts to take on any job.",11/2/24,40137,98,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Greenwich Leisure,www.gll.org,Wellness and Fitness Services, United Kingdom,"GLL operates sport, leisure facilities and libraries forlocal authorities throughout London",11/2/24,40111,272,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Modern Kitchens,www.modernkitchens.com,Retail, United States,"Headquartered in Syracuse, Modern Kitchens is Upstate New York's premier built-in appliance and cabinetry distributor. Our showrooms in Albany, Buffalo and Syracuse feature top-of-the-line products perfect for the most detailed products.",11/2/24,39878,75,"['PII', 'Databases', 'Customer and Client Data', 'Financial Data']",Play
Innovex Downhole Solutions,www.innovex-inc.com,Oil and Gas, United States,"Founded in 2016 and headquartered in Houston, Texas, Innovex Downhole Solutions design, manufacture, and install well construction, completion, andartificial lift products for onshore and offshore operators worldwide.",4/2/24,40594,,"['PII', 'Customer and Client Data', 'Employee and HR data', 'Financial Data']",Play
TPG Architecture,www.tpgarchitecture.com,Architecture and Planning, United States,"Founded in 1979 and headquartered in New York City, TPG Architecture works in the field of architecture and interior design.",23/1/24,43324,457,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Televerde,www.televerde.com,Business Consulting and Services, United States,"Founded in 1994 and headquartered in Phoenix, Arizona, Televerde offers a portfolio of sales and marketing solutions.",10/1/24,46487,395,"['PII', 'Customer and Client Data', 'Financial Data']",Play
Madison Capital & WPM & The Time Group,www.madisoncapital.com | www.wpmllc.com | www.thetimegroup.com,Finance, United States,Madison Capital has over 40 years of expertise in commercial equipment financing and leasing and is a direct funding source for most types of equipment and vehicles.,5/1/24,47894,,"['PII', 'Customer and Client Data', 'Employee and HR data', 'Financial Data']",Play
